region,num_agents,policy,seed,episode,WEL,ISR,CE,burned_cells,total_reward
saudi,3,CommNet (matched),42,7.0,9.0,0.4857142857142857,0.6399376613518685,856.7333333333333,-491.08643229166665
saudi,3,CommNet (matched),1042,7.0,11.533333333333333,0.4666666666666667,0.6373714610513408,874.0,-541.7504947916667
saudi,3,CommNet (matched),2042,7.0,16.2,0.3904761904761905,0.5407804082370956,888.2666666666667,-545.8242447916667
saudi,3,CommNet (matched),3042,7.0,7.8,0.4857142857142857,0.6112875448235371,877.6,-562.9559375
saudi,3,CommNet (matched),4042,7.0,12.6,0.45714285714285713,0.6356295142585485,872.0,-568.72515625
saudi,3,Local Reactive,42,7.0,25.133333333333333,0.30476190476190473,0.9946311461037064,817.4666666666667,-470.63572916666664
saudi,3,Local Reactive,1042,7.0,27.0,0.2857142857142857,0.9945330378883112,846.5333333333333,-523.283203125
saudi,3,Local Reactive,2042,7.0,27.0,0.2857142857142857,0.992299645893207,864.6,-527.029609375
saudi,3,Local Reactive,3042,7.0,27.0,0.2857142857142857,0.992822284393595,845.5333333333333,-542.6551041666667
saudi,3,Local Reactive,4042,7.0,27.0,0.2857142857142857,0.9978579392475039,837.8666666666667,-544.2996354166667
saudi,3,No-Op,42,7.0,27.0,0.2857142857142857,1.0,868.0,-498.01171875
saudi,3,No-Op,1042,7.0,27.0,0.2857142857142857,1.0,885.8666666666667,-550.5403645833334
saudi,3,No-Op,2042,7.0,27.0,0.2857142857142857,1.0,895.7333333333333,-550.798828125
saudi,3,No-Op,3042,7.0,27.0,0.2857142857142857,1.0,887.6,-569.20703125
saudi,3,No-Op,4042,7.0,27.0,0.2857142857142857,1.0,883.2,-577.1549479166666
saudi,3,Value-First Heuristic,42,7.0,19.0,0.3809523809523809,0.9951599322534076,866.3333333333334,-496.8639322916667
saudi,3,Value-First Heuristic,1042,7.0,19.0,0.3809523809523809,0.9968479970298121,884.4,-549.5651041666666
saudi,3,Value-First Heuristic,2042,7.0,20.6,0.36190476190476184,0.996409934249367,894.8,-550.1966145833334
saudi,3,Value-First Heuristic,3042,7.0,19.0,0.3809523809523809,0.995292783920927,885.9333333333333,-568.0631510416666
saudi,3,Value-First Heuristic,4042,7.0,19.8,0.3714285714285714,0.9968342372751152,881.6666666666666,-575.978515625
saudi,6,CommNet (matched),42,7.0,13.4,0.4380952380952381,0.4373525151705853,849.0,-485.1062760416667
saudi,6,CommNet (matched),1042,7.0,7.666666666666667,0.4666666666666667,0.4444895835824203,868.8,-538.060078125
saudi,6,CommNet (matched),2042,7.0,17.133333333333333,0.4095238095238095,0.3832690054172086,881.6,-540.7054427083333
saudi,6,CommNet (matched),3042,7.0,10.866666666666667,0.45714285714285713,0.45036502396952344,869.4,-555.2258072916667
saudi,6,CommNet (matched),4042,7.0,12.2,0.4380952380952381,0.432481439639712,865.2666666666667,-562.8300520833333
saudi,6,Local Reactive,42,7.0,24.866666666666667,0.32380952380952377,0.9856997711868254,778.4666666666667,-443.6628645833333
saudi,6,Local Reactive,1042,7.0,27.0,0.2857142857142857,0.9822887011457299,821.8666666666667,-505.33880208333335
saudi,6,Local Reactive,2042,7.0,27.0,0.2857142857142857,0.985905634843617,849.0,-513.8194270833334
saudi,6,Local Reactive,3042,7.0,24.733333333333334,0.3142857142857143,0.9863630602248664,816.6,-516.0353645833334
saudi,6,Local Reactive,4042,7.0,25.4,0.3142857142857142,0.9873885109315353,797.3333333333334,-520.4507552083334
saudi,6,No-Op,42,7.0,27.0,0.2857142857142857,1.0,868.0,-498.01171875
saudi,6,No-Op,1042,7.0,27.0,0.2857142857142857,1.0,885.8666666666667,-550.5403645833334
saudi,6,No-Op,2042,7.0,27.0,0.2857142857142857,1.0,895.7333333333333,-550.798828125
saudi,6,No-Op,3042,7.0,27.0,0.2857142857142857,1.0,887.6,-569.20703125
saudi,6,No-Op,4042,7.0,27.0,0.2857142857142857,1.0,883.2,-577.1549479166666
saudi,6,Value-First Heuristic,42,7.0,19.0,0.3809523809523809,0.9888413937059284,864.9333333333333,-495.6471354166667
saudi,6,Value-First Heuristic,1042,7.0,19.0,0.3809523809523809,0.9911106639098735,883.2666666666667,-548.7057291666666
saudi,6,Value-First Heuristic,2042,7.0,20.6,0.36190476190476184,0.9913021814547422,893.9333333333333,-549.5572916666666
saudi,6,Value-First Heuristic,3042,7.0,19.0,0.3809523809523809,0.9911098564757352,884.6,-566.8587239583334
saudi,6,Value-First Heuristic,4042,7.0,19.8,0.3714285714285714,0.99191694417295,880.4,-574.837890625
saudi,10,CommNet (matched),42,7.0,9.4,0.4666666666666667,0.43924669197635285,834.8,-475.34033854166665
saudi,10,CommNet (matched),1042,7.0,7.8,0.4857142857142857,0.4187430916932863,852.6,-525.3715885416666
