region,condition,policy,seed,episode,WEL,ISR,CE,burned_cells,total_reward
california,heldout_ignition,No-Op,4042,6,16.0,0.5,1.0,578,-279.345703125
california,heldout_ignition,No-Op,4042,7,12.0,0.5,1.0,498,-324.912109375
california,heldout_ignition,No-Op,4042,8,0.0,1.0,1.0,279,-112.32421875
california,heldout_ignition,No-Op,4042,9,28.0,0.16666666666666666,1.0,742,-540.60546875
california,heldout_ignition,No-Op,4042,10,34.0,0.0,1.0,827,-393.173828125
california,heldout_ignition,No-Op,4042,11,16.0,0.5,1.0,578,-279.35546875
california,heldout_ignition,No-Op,4042,12,12.0,0.5,1.0,498,-324.8828125
california,heldout_ignition,No-Op,4042,13,0.0,1.0,1.0,279,-112.32421875
california,heldout_ignition,No-Op,4042,14,28.0,0.16666666666666666,1.0,742,-540.5859375
california,heldout_ignition,Value-First Heuristic,42,0,34.0,0.0,0.9964912280701754,824,-391.71875
california,heldout_ignition,Value-First Heuristic,42,1,16.0,0.5,0.993103448275862,574,-277.48046875
california,heldout_ignition,Value-First Heuristic,42,2,12.0,0.5,0.9908045977011494,497,-324.21875
california,heldout_ignition,Value-First Heuristic,42,3,0.0,1.0,0.993103448275862,279,-112.32421875
california,heldout_ignition,Value-First Heuristic,42,4,28.0,0.16666666666666666,0.9862068965517241,740,-538.2421875
california,heldout_ignition,Value-First Heuristic,42,5,34.0,0.0,0.9964912280701754,824,-391.69921875
california,heldout_ignition,Value-First Heuristic,42,6,16.0,0.5,0.993103448275862,574,-277.470703125
california,heldout_ignition,Value-First Heuristic,42,7,12.0,0.5,0.9908045977011494,497,-324.23828125
california,heldout_ignition,Value-First Heuristic,42,8,0.0,1.0,0.993103448275862,279,-112.32421875
california,heldout_ignition,Value-First Heuristic,42,9,28.0,0.16666666666666666,0.9862068965517241,740,-538.251953125
california,heldout_ignition,Value-First Heuristic,42,10,34.0,0.0,0.9964912280701754,824,-391.73828125
california,heldout_ignition,Value-First Heuristic,42,11,16.0,0.5,0.993103448275862,574,-277.48046875
california,heldout_ignition,Value-First Heuristic,42,12,12.0,0.5,0.9908045977011494,497,-324.228515625
california,heldout_ignition,Value-First Heuristic,42,13,0.0,1.0,0.993103448275862,279,-112.32421875
california,heldout_ignition,Value-First Heuristic,42,14,28.0,0.16666666666666666,0.9862068965517241,740,-538.203125
california,heldout_ignition,Value-First Heuristic,1042,0,34.0,0.0,0.9964912280701754,824,-391.708984375
california,heldout_ignition,Value-First Heuristic,1042,1,16.0,0.5,0.993103448275862,574,-277.4609375
california,heldout_ignition,Value-First Heuristic,1042,2,12.0,0.5,0.9908045977011494,497,-324.228515625
california,heldout_ignition,Value-First Heuristic,1042,3,0.0,1.0,0.993103448275862,279,-112.32421875
california,heldout_ignition,Value-First Heuristic,1042,4,28.0,0.16666666666666666,0.9862068965517241,740,-538.203125
