region,condition,policy,seed,episode,WEL,ISR,CE,burned_cells,total_reward
saudi,heldout_ignition,No-Op,3042,13,27.0,0.2857142857142857,1.0,650,-294.3359375
saudi,heldout_ignition,No-Op,3042,14,27.0,0.2857142857142857,1.0,900,-715.869140625
saudi,heldout_ignition,No-Op,4042,0,27.0,0.2857142857142857,1.0,900,-121.26953125
saudi,heldout_ignition,No-Op,4042,1,27.0,0.2857142857142857,1.0,900,-492.666015625
saudi,heldout_ignition,No-Op,4042,2,27.0,0.2857142857142857,1.0,900,-538.603515625
saudi,heldout_ignition,No-Op,4042,3,27.0,0.2857142857142857,1.0,650,-294.326171875
saudi,heldout_ignition,No-Op,4042,4,27.0,0.2857142857142857,1.0,900,-715.87890625
saudi,heldout_ignition,No-Op,4042,5,27.0,0.2857142857142857,1.0,900,-121.2890625
saudi,heldout_ignition,No-Op,4042,6,27.0,0.2857142857142857,1.0,900,-492.67578125
saudi,heldout_ignition,No-Op,4042,7,27.0,0.2857142857142857,1.0,900,-538.61328125
saudi,heldout_ignition,No-Op,4042,8,27.0,0.2857142857142857,1.0,650,-294.296875
saudi,heldout_ignition,No-Op,4042,9,27.0,0.2857142857142857,1.0,900,-715.87890625
saudi,heldout_ignition,No-Op,4042,10,27.0,0.2857142857142857,1.0,900,-121.259765625
saudi,heldout_ignition,No-Op,4042,11,27.0,0.2857142857142857,1.0,900,-492.685546875
saudi,heldout_ignition,No-Op,4042,12,27.0,0.2857142857142857,1.0,900,-538.59375
saudi,heldout_ignition,No-Op,4042,13,27.0,0.2857142857142857,1.0,650,-294.35546875
saudi,heldout_ignition,No-Op,4042,14,27.0,0.2857142857142857,1.0,900,-715.859375
saudi,heldout_ignition,Value-First Heuristic,42,0,27.0,0.2857142857142857,1.0,900,-121.26953125
saudi,heldout_ignition,Value-First Heuristic,42,1,27.0,0.2857142857142857,1.0,900,-492.6953125
saudi,heldout_ignition,Value-First Heuristic,42,2,15.0,0.42857142857142855,0.9973544973544973,896,-536.50390625
saudi,heldout_ignition,Value-First Heuristic,42,3,15.0,0.42857142857142855,0.9954022988505747,647,-292.978515625
saudi,heldout_ignition,Value-First Heuristic,42,4,15.0,0.42857142857142855,0.9972222222222222,899,-715.009765625
saudi,heldout_ignition,Value-First Heuristic,42,5,27.0,0.2857142857142857,1.0,900,-121.259765625
saudi,heldout_ignition,Value-First Heuristic,42,6,27.0,0.2857142857142857,1.0,900,-492.685546875
saudi,heldout_ignition,Value-First Heuristic,42,7,15.0,0.42857142857142855,0.9973544973544973,896,-536.5234375
saudi,heldout_ignition,Value-First Heuristic,42,8,15.0,0.42857142857142855,0.9954022988505747,647,-292.978515625
saudi,heldout_ignition,Value-First Heuristic,42,9,15.0,0.42857142857142855,0.9972222222222222,899,-714.990234375
saudi,heldout_ignition,Value-First Heuristic,42,10,27.0,0.2857142857142857,1.0,900,-121.298828125
saudi,heldout_ignition,Value-First Heuristic,42,11,27.0,0.2857142857142857,1.0,900,-492.6953125
saudi,heldout_ignition,Value-First Heuristic,42,12,15.0,0.42857142857142855,0.9973544973544973,896,-536.513671875
saudi,heldout_ignition,Value-First Heuristic,42,13,15.0,0.42857142857142855,0.9954022988505747,647,-292.998046875
saudi,heldout_ignition,Value-First Heuristic,42,14,15.0,0.42857142857142855,0.9972222222222222,899,-714.990234375
saudi,heldout_ignition,Value-First Heuristic,1042,0,27.0,0.2857142857142857,1.0,900,-121.26953125
saudi,heldout_ignition,Value-First Heuristic,1042,1,27.0,0.2857142857142857,1.0,900,-492.67578125
saudi,heldout_ignition,Value-First Heuristic,1042,2,15.0,0.42857142857142855,0.9973544973544973,896,-536.513671875
saudi,heldout_ignition,Value-First Heuristic,1042,3,15.0,0.42857142857142855,0.9954022988505747,647,-292.998046875
saudi,heldout_ignition,Value-First Heuristic,1042,4,15.0,0.42857142857142855,0.9972222222222222,899,-714.98046875
