region,condition,policy,seed,episode,WEL,ISR,CE,burned_cells,total_reward
saudi,assets_rot90,CommNet (matched),42,7.0,40.266666666666666,0.05714285714285714,0.6331305337638078,860.1333333333333,-493.23499999999996
saudi,assets_rot90,CommNet (matched),1042,7.0,42.6,0.009523809523809523,0.608104772929246,877.8666666666667,-544.9188020833333
saudi,assets_rot90,CommNet (matched),2042,7.0,42.46666666666667,0.009523809523809523,0.5356330775935809,889.1333333333333,-546.4820572916667
saudi,assets_rot90,CommNet (matched),3042,7.0,42.6,0.009523809523809523,0.6144576766989547,880.0,-564.16796875
saudi,assets_rot90,CommNet (matched),4042,7.0,42.6,0.009523809523809523,0.6629150591975894,874.6666666666666,-570.4791666666666
saudi,assets_rot90,Learned Hierarchical,42,7.0,40.266666666666666,0.05714285714285714,0.9898585329290197,866.2666666666667,-496.86328125
saudi,assets_rot90,Learned Hierarchical,1042,7.0,42.6,0.009523809523809523,0.9945948873316528,884.4666666666667,-549.5364583333334
saudi,assets_rot90,Learned Hierarchical,2042,7.0,43.0,0.0,0.9953842685671497,894.8666666666667,-550.2239583333334
saudi,assets_rot90,Learned Hierarchical,3042,7.0,42.6,0.009523809523809523,0.9919735771331666,886.0,-568.1158854166666
saudi,assets_rot90,Learned Hierarchical,4042,7.0,41.93333333333333,0.019047619047619046,0.9925995369454873,881.7333333333333,-575.94921875
saudi,assets_rot90,Local Reactive,42,7.0,39.13333333333333,0.0857142857142857,0.9934976504900367,816.8,-470.7000260416667
saudi,assets_rot90,Local Reactive,1042,7.0,38.6,0.06666666666666667,0.9966640148247358,842.2666666666667,-521.228515625
saudi,assets_rot90,Local Reactive,2042,7.0,40.06666666666667,0.03809523809523809,0.9967905234654805,866.9333333333333,-528.9990104166667
saudi,assets_rot90,Local Reactive,3042,7.0,39.06666666666667,0.07619047619047618,0.9935418489981462,842.7333333333333,-541.9690625
saudi,assets_rot90,Local Reactive,4042,7.0,39.733333333333334,0.06666666666666667,0.9951573122107504,838.9333333333333,-543.0576041666667
saudi,assets_rot90,No-Op,42,7.0,40.266666666666666,0.05714285714285714,1.0,868.0,-498.0475260416667
saudi,assets_rot90,No-Op,1042,7.0,42.6,0.009523809523809523,1.0,885.8666666666667,-550.5729166666666
saudi,assets_rot90,No-Op,2042,7.0,43.0,0.0,1.0,895.7333333333333,-550.841796875
saudi,assets_rot90,No-Op,3042,7.0,42.6,0.009523809523809523,1.0,887.6,-569.2467447916666
saudi,assets_rot90,No-Op,4042,7.0,41.93333333333333,0.019047619047619046,1.0,883.2666666666667,-577.1901041666666
saudi,assets_rot90,Value-First Heuristic,42,7.0,40.266666666666666,0.05714285714285714,0.9963732099586966,866.0,-497.1119791666667
saudi,assets_rot90,Value-First Heuristic,1042,7.0,42.6,0.009523809523809523,0.9967657531530515,883.5333333333333,-549.529296875
saudi,assets_rot90,Value-First Heuristic,2042,7.0,43.0,0.0,0.995643863509671,893.6666666666666,-549.6158854166666
saudi,assets_rot90,Value-First Heuristic,3042,7.0,42.6,0.009523809523809523,0.9958381571992542,885.0,-568.017578125
saudi,assets_rot90,Value-First Heuristic,4042,7.0,41.53333333333333,0.02857142857142857,0.9963265477159448,880.8666666666667,-576.0240885416666
saudi,cross_region,CommNet (matched) [trained on california],42,7.0,26.466666666666665,0.2952380952380952,0.8706519707212007,859.8,-493.128828125
saudi,cross_region,CommNet (matched) [trained on california],1042,7.0,26.466666666666665,0.2952380952380952,0.8428458657737797,875.8,-544.7812239583333
saudi,cross_region,CommNet (matched) [trained on california],2042,7.0,26.466666666666665,0.2952380952380952,0.8695455753897157,887.1333333333333,-541.1267708333334
saudi,cross_region,CommNet (matched) [trained on california],3042,7.0,27.0,0.2857142857142857,0.8299903362077764,878.6666666666666,-564.2582552083334
