Seed,Mean Episode Reward,Reward Std,Mean Burned Cells,Burned Cells Std,Mean Fire Intensity,Fire Intensity Std
0,-86234.59122924805,2260.011560665994,790.1,5.923681287847955,709.9649536132813,5.40144981639714
1,-84132.45456666946,1381.6937001413223,793.9,13.23971298782568,715.04404296875,9.68765326337171
2,-86047.726825428,2322.5060081187335,792.1,10.15332457867865,711.4147521972657,6.139000967870461
3,-87412.23538131714,1488.3821911599996,798.1,6.518435395092905,713.2920288085937,6.140169597997286
4,-87074.11941623688,1868.3504384477355,796.3,7.798076685952761,716.026025390625,6.46166075023338
