group,cell,controller,variant,coordinate,catastrophe_weight,cascade_prob,n_seeds,n_episodes,rollout_gif,burned_cells_mean,burned_cells_ci_lo,burned_cells_ci_hi,isr_mean,isr_ci_lo,isr_ci_hi,wel_mean,wel_ci_lo,wel_ci_hi,cps_mean,cps_ci_lo,cps_ci_hi,rac_mean,rac_ci_lo,rac_ci_hi,pa_mean,pa_ci_lo,pa_ci_hi,ccl_mean,ccl_ci_lo,ccl_ci_hi,ce_mean,ce_ci_lo,ce_ci_hi
catastrophe,no_cascade,hybrid,risk_aware,True,5.0,0.0,3,12,figures/ablation/catastrophe/no_cascade.gif,0.3611111111111111,0.25,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6464849240711824,0.6089275669700641,0.7128487673850673,1.0,1.0,1.0,0.0,0.0,0.0,0.9966666666666667,,
catastrophe,cascade,hybrid,risk_aware,True,5.0,0.15,3,12,figures/ablation/catastrophe/cascade.gif,0.2777777777777778,0.16666666666666666,0.4166666666666667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6376695960744986,0.6001122389733803,0.7040334393883834,1.0,1.0,1.0,0.0,0.0,0.0,0.9966666666666667,,
