train_region,test_region,mean_reward,reward_std,mean_burned_cells,mean_fire_intensity,n_episodes,p_vs_native,d_vs_native,sig_vs_native
saudi,saudi,-3299.712520449143,380.90958121862127,96.85,176.00421981811525,20,,,
saudi,california,-3062.6421218931196,127.80746688213286,265.6,353.3817993164063,20,7.095580604788094e-18,-0.38427208981359856,***
random_saudi,saudi,-3102.777467956346,487.9419858849687,90.45,164.68960037231446,20,,,
noop_saudi,saudi,-3312.5306807507536,375.5670686674861,97.85,175.4140739440918,20,,,
california,saudi,-3312.5306807507536,375.5670686674861,97.85,175.4140739440918,20,0.02532352946677926,-0.03303019511843008,*
california,california,-3012.2463796609727,127.84312218444848,263.75,351.08973388671876,20,,,
random_california,california,-2783.8409835143802,143.42200880540202,245.95,335.5903823852539,20,,,
noop_california,california,-3012.2463796609727,127.84312218444848,263.75,351.08973388671876,20,,,
