timesteps,ep_rew_mean
2048,-4814.6295117
4096,-5466.8409181
6144,-5512.1827287
8192,-5399.644243724999
10240,-5340.47526027451
12288,-5485.340828754099
14336,-5546.380789633803
16384,-5603.135252817074
18432,-5640.50726576087
20480,-5640.371239820001
22528,-5880.38898185
24576,-5884.6733838
26624,-5859.61446252
28672,-5928.000913070002
30720,-5942.909684560001
32768,-5905.089986830001
34816,-5946.18216411
36864,-5992.674920990003
38912,-6081.4599499000005
40960,-5960.916606009999
43008,-5986.029837720001
45056,-5960.09330975
47104,-5970.193841110001
49152,-5924.29987264
51200,-5811.733630129998
53248,-5860.617657780002
55296,-5817.97297596
57344,-5727.972656010001
59392,-5635.82097458
61440,-5803.929051029999
63488,-5645.09729513
65536,-5562.548211450001
67584,-5581.49626422
69632,-5801.27443016
71680,-5825.957673150001
73728,-5804.59865979
75776,-5907.524221860001
77824,-5960.95779696
79872,-5949.6195086100015
81920,-5886.69698462
83968,-6000.73569188
86016,-6132.101299099999
88064,-6147.769563610001
90112,-6027.50165666
92160,-6134.78864365
94208,-6116.854013279999
96256,-6112.126534359999
98304,-6072.793002180001
100352,-6005.87639738
