timesteps,ep_rew_mean
2048,-6023.8348377
4096,-5681.46363475
6144,-6121.3927351
8192,-6101.166935974999
10240,-6104.235500215686
12288,-6257.662674540984
14336,-6208.631040140845
16384,-6180.6601535802465
18432,-6177.341696847826
20480,-6149.07503197
22528,-6134.51194314
24576,-6192.456266549999
26624,-6122.71939805
28672,-6130.137439949999
30720,-6087.27716262
32768,-6066.48168728
34816,-6087.36984175
36864,-6077.490646690001
38912,-6055.30293096
40960,-6085.965556330001
43008,-6007.9349309399995
45056,-6070.08965125
47104,-5974.511583480002
49152,-5982.9031625100015
51200,-5965.48924993
53248,-5884.07748433
55296,-5909.385720779999
57344,-5935.14649363
59392,-6006.197250109999
61440,-6031.1369860099985
63488,-6026.22794186
65536,-5893.688255590001
67584,-6015.47038804
69632,-5974.092540739999
71680,-6049.097084859998
73728,-5932.90947812
75776,-5892.390492490001
77824,-5945.64586299
79872,-5836.500051149998
81920,-5937.678734779999
83968,-5921.55058788
86016,-6039.76479606
88064,-6062.856357120001
90112,-6082.338682550001
92160,-6163.0695056
94208,-6249.98939266
96256,-6469.251445420002
98304,-6359.05404277
100352,-6316.36288058
