version,region,num_agents,mean_entropy,mean_repeated_ratio,overlap_efficiency,suppression_partitioning,frontier_coverage,role_persistence,interception_efficiency,suppression_contribution
hybrid_nearest,saudi,5,0.5553828947299285,0.9783039479146184,0.8228191603144017,0.8312906726722625,0.12288477201711907,0.9783039479146184,0.12288477201711907,0.5102373553975585
hybrid_frontier,saudi,5,0.5553828947299285,0.9783039479146184,0.8228191603144017,0.8312906726722625,0.12288477201711907,0.9783039479146184,0.12288477201711907,0.5102373553975585
hybrid_nearest,saudi,10,0.49768940378669263,0.9846951088127559,0.8434123935180539,0.9864023404846715,0.1308356604632517,0.9846951088127559,0.1308356604632517,0.25253700615885577
hybrid_frontier,saudi,10,0.49768940378669263,0.9846951088127559,0.8434123935180539,0.9864023404846715,0.1308356604632517,0.9846951088127559,0.1308356604632517,0.25253700615885577
hybrid_nearest,california,5,-1.4428232973175173e-12,1.0,0.8673468290736303,0.8143624498684088,0.1938822398605491,1.0,0.1938822398605491,0.7139570802122472
hybrid_frontier,california,5,-1.4428232973175173e-12,1.0,0.8673468290736303,0.8143624498684088,0.1938822398605491,1.0,0.1938822398605491,0.7139570802122472
hybrid_nearest,california,10,-1.4428232973175173e-12,1.0,0.9421887296427823,0.9416478428074039,0.2763217608350352,1.0,0.2763217608350352,0.5738086202448446
hybrid_frontier,california,10,-1.4428232973175173e-12,1.0,0.9421887296427823,0.9416478428074039,0.2763217608350352,1.0,0.2763217608350352,0.5738086202448446
