Ablation Group,Configuration,Return,Burned,WEL,ISR,CE
Design Component,Full Redesign,-408.1243489583333,657.6,23.8,0.2777777777777778,0.9839352810854939
Design Component,Without BC Pretraining,-406.935546875,657.2,24.2,0.26666666666666666,0.9787648827915792
Design Component,Without KL Regularization,-407.7278645833333,657.4,23.8,0.2777777777777778,0.9863760401780883
Design Component,Without Entropy Bonus,-407.9895833333333,657.6,23.8,0.2777777777777778,0.9856030630336561
Design Component,Without WEL/ISR Reward,-408.1204427083333,657.6,23.8,0.2777777777777778,0.9726505015137287
Design Component,Without Target-Seeking,-408.0481770833333,657.6666666666666,23.8,0.2777777777777778,0.9760999044336773
