group,cell,controller,variant,coordinate,catastrophe_weight,cascade_prob,n_seeds,n_episodes,rollout_gif,burned_cells_mean,burned_cells_ci_lo,burned_cells_ci_hi,isr_mean,isr_ci_lo,isr_ci_hi,wel_mean,wel_ci_lo,wel_ci_hi,cps_mean,cps_ci_lo,cps_ci_hi,rac_mean,rac_ci_lo,rac_ci_hi,pa_mean,pa_ci_lo,pa_ci_hi,ccl_mean,ccl_ci_lo,ccl_ci_hi,ce_mean,ce_ci_lo,ce_ci_hi
hybrid_vs_pure,pure_heuristic_frontier,heuristic,risk_aware,True,5.0,0.15,3,12,figures/ablation/hybrid_vs_pure/pure_heuristic_frontier.gif,0.611111111111111,0.0,0.9166666666666666,0.9920634920634921,0.9880952380952381,1.0,0.07920535902182262,0.0,0.11880803853273392,1.0,1.0,1.0,-20.035107239480773,-30.52092387201986,0.9365260194837557,0.9922480620155039,0.9883720930232558,1.0,0.0,0.0,0.0,0.59,,
hybrid_vs_pure,pure_heuristic_nearest,heuristic,risk_aware,True,5.0,0.15,3,12,figures/ablation/hybrid_vs_pure/pure_heuristic_nearest.gif,0.611111111111111,0.0,0.9166666666666666,0.9920634920634921,0.9880952380952381,1.0,0.07920535902182262,0.0,0.11880803853273392,1.0,1.0,1.0,-20.035107239480773,-30.52092387201986,0.9365260194837557,0.9922480620155039,0.9883720930232558,1.0,0.0,0.0,0.0,0.59,,
hybrid_vs_pure,hybrid_greedy,hybrid,greedy_risk,True,5.0,0.15,3,12,figures/ablation/hybrid_vs_pure/hybrid_greedy.gif,0.7777777777777777,0.6666666666666666,0.9166666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7398402705096278,0.6650283333545615,0.7853965196729212,1.0,1.0,1.0,0.0,0.0,0.0,0.9966666666666667,,
hybrid_vs_pure,hybrid_risk_aware,hybrid,risk_aware,True,5.0,0.15,3,12,figures/ablation/hybrid_vs_pure/hybrid_risk_aware.gif,0.2777777777777778,0.16666666666666666,0.4166666666666667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6376695960744986,0.6001122389733803,0.7040334393883834,1.0,1.0,1.0,0.0,0.0,0.0,0.9966666666666667,,
