region,num_agents,policy,reward_mean,reward_std,reward_ci_lo,reward_ci_hi,burned_cells_mean,fire_intensity_mean
california,1,ppo,-2896.224115679123,159.34544507671507,-2937.7347847360666,-2854.713446622179,257.21666666666664,347.4303207397461
california,1,noop,-3014.2463796609727,127.84312218444848,-3075.633150354343,-2952.8596089676025,263.75,351.08973388671876
california,1,random,-2795.14098351438,143.17980177876922,-2863.8920082823333,-2726.3899587464266,245.95,335.5903823852539
california,1,nearest_fire,-822.6242652074909,330.9776645314007,-981.550687294575,-663.6978431204068,65.8,111.8886191368103
california,1,frontier,-822.6242652074909,330.9776645314007,-981.550687294575,-663.6978431204068,65.8,111.8886191368103
california,3,ppo,-1897.4628313629282,138.21443107764793,-1933.468714710242,-1861.4569480156144,247.33333333333334,338.0834493001302
california,3,noop,-2071.0632992744695,136.24829730332158,-2136.486005173767,-2005.6405933751719,259.55,343.9622375488281
california,3,random,-1430.5297357090485,277.4416949351003,-1563.749649434159,-1297.309821983938,211.35,299.4363494873047
california,3,nearest_fire,311.4930263422134,46.86313574303147,288.990630290909,333.9954223935178,0.0,0.09186895862221718
california,3,frontier,311.4930263422134,46.86313574303147,288.990630290909,333.9954223935178,0.0,0.09186895862221718
california,5,ppo,-749.111226478345,376.0317687183752,-847.070288305627,-651.152164651063,234.76666666666668,321.6334060668945
california,5,noop,-1139.7841476854067,129.43141656427753,-1201.9335738992472,-1077.634721471566,254.45,335.99236450195315
california,5,random,-185.48618795037174,223.49178587816868,-292.8008309059852,-78.1715449947583,172.5,254.87552337646486
california,5,nearest_fire,477.527103238557,76.66164239782897,440.7162792971409,514.3379271799731,0.0,0.08797473795711994
california,5,frontier,477.527103238557,76.66164239782897,440.7162792971409,514.3379271799731,0.0,0.08797473795711994
california,10,ppo,1431.1013909494739,324.43763095008313,1346.5829842795881,1515.6197976193596,223.38333333333333,308.2413548787435
california,10,noop,1038.4011392917178,150.13500119892467,966.3104179907295,1110.491860592706,246.0,325.62017211914065
california,10,random,2470.1298105815754,324.39832333276485,2314.362608189481,2625.89701297367,103.25,168.57659759521485
california,10,nearest_fire,914.4385816823599,90.52584702502729,870.9705458725738,957.906617492146,0.0,0.09254953898489475
california,10,frontier,914.4385816823599,90.52584702502729,870.9705458725738,957.906617492146,0.0,0.09254953898489475
saudi,1,ppo,-3336.905808939585,388.7314016144504,-3438.173219229792,-3235.638398649378,98.63333333333334,178.34557774861653
saudi,1,noop,-3312.5306807507536,375.5670686674861,-3492.8677151592947,-3132.1936463422126,97.85,175.4140739440918
saudi,1,random,-3103.977467956346,487.5089861288429,-3338.065949456911,-2869.8889864557814,90.45,164.68960037231446
saudi,1,nearest_fire,72.45724085280807,18.565611735306,63.542541877191134,81.37193982842501,0.0,0.08756177453324199
saudi,1,frontier,72.45724085280807,18.565611735306,63.542541877191134,81.37193982842501,0.0,0.08756177453324199
saudi,3,ppo,-2395.5303762205863,373.44175255152317,-2492.8147196465825,-2298.24603279459,95.05,172.5503173828125
saudi,3,noop,-2467.5699375836907,356.28128998290117,-2638.6464685445326,-2296.493406622849,95.95,170.52505416870116
saudi,3,random,-2019.3470645195987,487.3436980710651,-2253.356179215538,-1785.3379498236595,81.35,149.0103759765625
saudi,3,nearest_fire,229.79323352069227,47.88481031251895,206.80025728448055,252.786209756904,0.0,0.09530089013278484
saudi,3,frontier,229.79323352069227,47.88481031251895,206.80025728448055,252.786209756904,0.0,0.09530089013278484
saudi,5,ppo,-1232.4437426532256,562.8063455937231,-1379.0589655975737,-1085.8285197088776,88.81666666666666,162.56323521931967
saudi,5,noop,-1605.7954571420685,341.63027739281534,-1769.836972570392,-1441.753941713745,93.95,166.57503509521484
saudi,5,random,-841.464209407038,521.0531492701651,-1091.6596805967818,-591.2687382172942,69.85,128.76477737426757
saudi,5,nearest_fire,405.88401261821224,91.68742476477635,361.8582189475877,449.90980628883676,0.0,0.09471083655953408
saudi,5,frontier,405.88401261821224,91.68742476477635,361.8582189475877,449.90980628883676,0.0,0.09471083655953408
saudi,10,ppo,629.7604947751643,349.17892452849105,538.7967978161238,720.7241917342047,88.7,161.05637817382814
saudi,10,noop,478.5267182877322,335.07653303056463,317.632131653654,639.4213049218104,91.5,162.21679458618163
saudi,10,random,1797.668740749832,466.9787895274911,1573.4382981450844,2021.8991833545797,48.8,90.47372388839722
saudi,10,nearest_fire,813.5991077634416,168.17605792427898,732.8455644557476,894.3526510711355,0.0,0.09547571018338204
saudi,10,frontier,813.5991077634416,168.17605792427898,732.8455644557476,894.3526510711355,0.0,0.09547571018338204
