baseline,reward,fire_intensity,switch_rate,overload_recovery,support_efficiency,containment_efficiency
Static Partitioning,0.17501940002069347,0.20400262624025345,0.0,0.3288590604026846,0.20205233453052848,94.4198839893693
Routing Only,0.24555617052374656,3.6558850362896917,0.0,0.2736156351791531,1.0102092904543134,0.0
Hybrid PPO (Phase 5),0.17111698425110608,0.23410950452089307,0.024719851401199297,0.32485754985754983,0.12507213531841607,93.59636579933357
Adaptive PPO (Phase 6),0.4790223424277064,0.7527498379349709,0.003492786636294609,0.2727272727272727,0.1788914198936978,79.40991496004682
