region,num_agents,policy,version,seed,episode,reward,burned_cells,fire_intensity
saudi,3,ppo_v1,v1,0,4,-2324.0914083925213,87,163.96243286132812
saudi,3,ppo_v1,v1,0,5,-2844.090704926619,108,186.22833251953125
saudi,3,ppo_v1,v1,0,6,-2756.426386344943,94,171.8153076171875
saudi,3,ppo_v1,v1,0,7,-2696.766356144955,111,188.8525390625
saudi,3,ppo_v1,v1,0,8,-2747.053731384305,104,168.55255126953125
saudi,3,ppo_v1,v1,0,9,-2634.0738137483395,91,167.53033447265625
saudi,3,ppo_v1,v1,0,10,-2013.0681091943038,88,161.35646057128906
saudi,3,ppo_v1,v1,0,11,-2188.8405674143173,90,168.75079345703125
saudi,3,ppo_v1,v1,0,12,-1883.3947119574868,83,155.56253051757812
saudi,3,ppo_v1,v1,0,13,-3077.710142786518,98,189.7233123779297
saudi,3,ppo_v1,v1,0,14,-3021.375582317061,91,178.0257110595703
saudi,3,ppo_v1,v1,0,15,-2949.5841273782703,106,183.49014282226562
saudi,3,ppo_v1,v1,0,16,-2057.9479175786273,92,163.9047088623047
saudi,3,ppo_v1,v1,0,17,-2386.6995245740973,114,195.26376342773438
saudi,3,ppo_v1,v1,0,18,-1810.4710725414561,78,154.72451782226562
saudi,3,ppo_v1,v1,0,19,-2083.9796074262213,90,155.023681640625
saudi,3,ppo_v1,v1,1,0,-2093.980327536947,79,154.5458984375
saudi,3,ppo_v1,v1,1,1,-2454.5298990778765,92,173.47503662109375
saudi,3,ppo_v1,v1,1,2,-2285.439038542894,102,168.9289093017578
saudi,3,ppo_v1,v1,1,3,-2174.087231845089,85,157.0596466064453
saudi,3,ppo_v1,v1,1,4,-2279.9316949772797,82,164.00558471679688
saudi,3,ppo_v1,v1,1,5,-1988.8567386003394,97,181.1396484375
saudi,3,ppo_v1,v1,1,6,-2013.4756854083425,82,156.2013702392578
saudi,3,ppo_v1,v1,1,7,-2632.164303358475,106,187.55902099609375
saudi,3,ppo_v1,v1,1,8,-2217.4209445540214,101,170.13302612304688
saudi,3,ppo_v1,v1,1,9,-1864.1807065058038,92,160.1279754638672
saudi,3,ppo_v1,v1,1,10,-1965.413054730192,87,159.65213012695312
saudi,3,ppo_v1,v1,1,11,-2130.440309769042,86,167.7266387939453
saudi,3,ppo_v1,v1,1,12,-1852.639567196691,80,155.2617645263672
saudi,3,ppo_v1,v1,1,13,-2403.5518646170513,87,174.76931762695312
saudi,3,ppo_v1,v1,1,14,-2629.900099667542,92,178.87380981445312
saudi,3,ppo_v1,v1,1,15,-2908.627363994322,104,184.38059997558594
saudi,3,ppo_v1,v1,1,16,-2102.487223410132,98,167.70071411132812
saudi,3,ppo_v1,v1,1,17,-2392.8314667240365,114,201.68629455566406
saudi,3,ppo_v1,v1,1,18,-2240.575467450012,82,161.04827880859375
saudi,3,ppo_v1,v1,1,19,-2061.1445214305354,89,154.8245086669922
saudi,3,ppo_v1,v1,2,0,-2188.0470210327776,87,160.75405883789062
saudi,3,ppo_v1,v1,2,1,-2541.2167209864447,98,178.78065490722656
saudi,3,ppo_v1,v1,2,2,-2366.3429878440666,105,173.5880126953125
saudi,3,ppo_v1,v1,2,3,-2285.7040227634843,89,162.11422729492188
saudi,3,ppo_v1,v1,2,4,-2399.816082879609,88,169.57794189453125
saudi,3,ppo_v1,v1,2,5,-3027.003284183521,113,196.87594604492188
saudi,3,ppo_v1,v1,2,6,-2915.942313900512,101,181.05230712890625
saudi,3,ppo_v1,v1,2,7,-2730.157236831428,111,193.38668823242188
saudi,3,ppo_v1,v1,2,8,-2872.1128049867652,107,180.14723205566406
saudi,3,ppo_v1,v1,2,9,-2788.9959874129595,97,180.02230834960938
saudi,3,ppo_v1,v1,2,10,-2051.0386549656127,91,165.0952606201172
saudi,3,ppo_v1,v1,2,11,-2215.06239670288,93,172.90802001953125
saudi,3,ppo_v1,v1,2,12,-1916.9543670625367,83,159.73272705078125
saudi,3,ppo_v1,v1,2,13,-3183.2970433937057,108,204.90245056152344
saudi,3,ppo_v1,v1,2,14,-3183.408419531995,98,193.26223754882812
saudi,3,ppo_v1,v1,2,15,-3034.5761734037524,110,190.3770751953125
saudi,3,ppo_v1,v1,2,16,-2121.8026188763192,98,170.69371032714844
saudi,3,ppo_v1,v1,2,17,-2450.8502000281246,116,205.74859619140625
saudi,3,ppo_v1,v1,2,18,-2319.750455955607,87,166.39962768554688
saudi,3,ppo_v1,v1,2,19,-2138.513476205544,92,159.6707763671875
saudi,3,ppo_v2_ent0.02,v2,0,0,-3197.974091160152,79,152.62945556640625
saudi,3,ppo_v2_ent0.02,v2,0,1,-3655.7525964858437,95,174.1523895263672
saudi,3,ppo_v2_ent0.02,v2,0,2,-3384.8919192228027,101,168.5050048828125
saudi,3,ppo_v2_ent0.02,v2,0,3,-3413.27180105759,84,156.76829528808594
saudi,3,ppo_v2_ent0.02,v2,0,4,-3505.3154109678585,85,164.50086975097656
saudi,3,ppo_v2_ent0.02,v2,0,5,-4112.334427707811,107,190.73350524902344
saudi,3,ppo_v2_ent0.02,v2,0,6,-4015.2998988812888,97,176.27178955078125
saudi,3,ppo_v2_ent0.02,v2,0,7,-3920.0805722988425,110,189.65293884277344
saudi,3,ppo_v2_ent0.02,v2,0,8,-4005.9774346963864,105,175.45657348632812
saudi,3,ppo_v2_ent0.02,v2,0,9,-3922.7380123629673,93,175.0628662109375
saudi,3,ppo_v2_ent0.02,v2,0,10,-3219.056181828116,88,160.55923461914062
saudi,3,ppo_v2_ent0.02,v2,0,11,-3403.415565296763,89,168.24349975585938
saudi,3,ppo_v2_ent0.02,v2,0,12,-3099.392725697058,83,156.07901000976562
saudi,3,ppo_v2_ent0.02,v2,0,13,-4364.155170071659,104,199.93272399902344
saudi,3,ppo_v2_ent0.02,v2,0,14,-4306.5717425460025,94,188.56903076171875
saudi,3,ppo_v2_ent0.02,v2,0,15,-4174.260431458761,105,185.2593231201172
saudi,3,ppo_v2_ent0.02,v2,0,16,-3311.977882329582,93,166.56007385253906
saudi,3,ppo_v2_ent0.02,v2,0,17,-3653.604629517702,115,203.63284301757812
saudi,3,ppo_v2_ent0.02,v2,0,18,-3035.676824394106,78,155.04534912109375
saudi,3,ppo_v2_ent0.02,v2,0,19,-3291.5534306343393,90,155.2430419921875
saudi,3,ppo_v2_ent0.02,v2,1,0,-3202.102358168981,79,153.45733642578125
saudi,3,ppo_v2_ent0.02,v2,1,1,-3608.6247942650025,93,170.08834838867188
saudi,3,ppo_v2_ent0.02,v2,1,2,-3371.8416106778177,101,166.8662567138672
saudi,3,ppo_v2_ent0.02,v2,1,3,-3377.872369303834,86,155.56739807128906
saudi,3,ppo_v2_ent0.02,v2,1,4,-3497.974466515998,84,162.72108459472656
saudi,3,ppo_v2_ent0.02,v2,1,5,-3059.8880219532693,99,171.02386474609375
saudi,3,ppo_v2_ent0.02,v2,1,6,-3163.3165942195824,79,154.25311279296875
saudi,3,ppo_v2_ent0.02,v2,1,7,-3859.9871798436916,107,186.36306762695312
saudi,3,ppo_v2_ent0.02,v2,1,8,-3372.996938034099,98,163.2838897705078
saudi,3,ppo_v2_ent0.02,v2,1,9,-3028.3142377628187,89,154.95947265625
saudi,3,ppo_v2_ent0.02,v2,1,10,-3171.5614855916765,84,158.02642822265625
saudi,3,ppo_v2_ent0.02,v2,1,11,-3345.4741567208926,83,165.6583709716797
saudi,3,ppo_v2_ent0.02,v2,1,12,-3043.538118984887,80,152.83453369140625
saudi,3,ppo_v2_ent0.02,v2,1,13,-3639.9755722416635,89,174.11497497558594
saudi,3,ppo_v2_ent0.02,v2,1,14,-3850.289505273557,93,176.6927490234375
saudi,3,ppo_v2_ent0.02,v2,1,15,-4101.234567998477,103,181.30223083496094
