baseline,reward,fire_intensity
Pure NearestFire,53.21634171257703,0.09774549305438995
Pure NearestFire,86.45684797591177,0.09755536168813705
Pure NearestFire,44.76399099774038,0.09781274944543839
Pure NearestFire,50.82755411061305,0.0999949648976326
Pure NearestFire,46.37006291419177,0.09974584728479385
Pure NearestFire,38.41793819503243,0.09974584728479385
Pure NearestFire,44.13629983740829,0.09706306457519531
Pure NearestFire,22.25955050135199,0.09871098399162292
Pure NearestFire,53.26128742218805,0.09719039499759674
Pure NearestFire,35.87224192297189,0.08556659519672394
Pure NearestFire,62.061916087547644,0.097129225730896
Pure NearestFire,63.37022025598997,0.09104956686496735
Pure NearestFire,43.56531922472508,0.09855146706104279
Pure NearestFire,51.87292035009579,0.0726184993982315
Pure NearestFire,57.98330764493724,0.0783395916223526
Pure NearestFire,59.890146668148084,0.09999755769968033
Pure NearestFire,19.300172841225315,0.09999755769968033
Pure NearestFire,55.6477405012741,0.08802138268947601
Pure NearestFire,44.23978445485407,0.09974584728479385
Pure NearestFire,47.638905298605465,0.09763473272323608
Static Partitioning,7.378069585668965,0.09432603418827057
Static Partitioning,27.21559550800948,0.0863194465637207
Static Partitioning,16.40795926274703,0.09493489563465118
Static Partitioning,10.416618356588724,0.08136211335659027
Static Partitioning,27.509624786001478,0.08935325592756271
Static Partitioning,16.162014359104933,0.09802639484405518
Static Partitioning,4.846998917949523,0.08450508117675781
Static Partitioning,28.783375206777496,0.09468329697847366
Static Partitioning,32.03289081632661,0.08339108526706696
Static Partitioning,10.849569714571937,0.09714707732200623
Static Partitioning,32.376589813928796,0.08820842951536179
Static Partitioning,20.771314886664378,0.09945537894964218
Static Partitioning,10.804329972828954,0.07812607288360596
Static Partitioning,29.906210754813255,0.09885334968566895
Static Partitioning,24.85215175496484,0.08724808692932129
Static Partitioning,13.886951068886777,0.08131958544254303
Static Partitioning,5.393391312485613,0.08859141170978546
Static Partitioning,28.199266199592543,0.09767143428325653
Static Partitioning,10.557200021508695,0.06958286464214325
Static Partitioning,16.637749282649217,0.0980171412229538
Random Territory,29.669688464722245,0.09854376316070557
Random Territory,51.5763110105049,0.09960336983203888
Random Territory,15.905578003123688,0.08971163630485535
Random Territory,28.93607767335368,0.09901495277881622
Random Territory,15.152329692278906,0.0938185602426529
Random Territory,9.59029995684304,0.09800782799720764
Random Territory,18.15655731231104,0.07802794873714447
Random Territory,39.66778802108699,0.09870612621307373
Random Territory,8.286532881035319,0.08128490298986435
Random Territory,2.074836081164331,0.09714707732200623
Random Territory,34.68338613688413,0.09913371503353119
Random Territory,11.135945055096657,0.09925979375839233
Random Territory,15.352560018349807,0.09991501271724701
Random Territory,20.79695035280953,0.08269236981868744
Random Territory,19.332773167720404,0.08643951267004013
Random Territory,16.489490315036075,0.08131958544254303
Random Territory,-5.582793711406298,0.06181386858224869
Random Territory,25.35125735774481,0.09767143428325653
Random Territory,7.183018402912125,0.08103344589471817
Random Territory,34.859928356975736,0.08044957369565964
Routing Only,18.663384764898684,0.07765784859657288
Routing Only,36.85065691986342,0.09942837059497833
Routing Only,13.412280284587306,0.07850988954305649
Routing Only,3.270071112581584,0.09218906611204147
Routing Only,9.121656876044892,0.09729224443435669
Routing Only,9.66667146226503,0.09890028834342957
Routing Only,2.111053779369598,0.09988994896411896
Routing Only,5.491684331136303,0.09432336688041687
Routing Only,11.172296662449014,0.0991014912724495
Routing Only,5.284791041674416,0.09714707732200623
Routing Only,38.62214199655785,0.09896843135356903
Routing Only,10.832132753063062,0.09779977053403854
