train_region,test_region,num_agents,reward_mean,reward_std,reward_ci_lo,reward_ci_hi,burned_cells_mean,fire_intensity_mean,transfer_degradation_pct
saudi,saudi,5,19.657649953362657,4.790209087345178,-41.207727440762696,80.52302734748801,0.0,0.09032274037599564,0.0
saudi,saudi,10,33.34009782437576,18.507801689287387,-201.82381966099356,268.5040153097451,0.0,0.09222161024808884,0.0
saudi,california,5,130.659808113667,15.274604758706644,-63.42244721853956,324.74206344587355,0.0,0.0981433093547821,-19.692537319949942
saudi,california,10,116.6725723376136,11.998963246739365,-35.78871130038071,269.1338559756079,0.0,0.0830940492451191,-88.19198868399516
california,california,5,109.16286933110997,32.26344072842936,-300.78301406605533,519.1087527282752,0.0,0.08065555989742279,0.0
california,california,10,61.99656699176805,11.778207304290248,-87.65974644468378,211.65288042821987,0.0,0.08415790274739265,0.0
california,saudi,5,20.131427003032677,15.28113067742475,-174.03374798849944,214.2966019945648,0.0,0.08774097263813019,-2.410140839795423
california,saudi,10,19.728668520273118,4.946372385184744,-43.1209517085182,82.57828874906443,0.0,0.09141244366765022,40.8260028983808
