episode,map,reset_s,steps,mean_step_s,episode_s
0,Sub40x40,0.0302,50,0.0004,0.0491
1,Sub40x40,0.0294,50,0.0004,0.0489
2,Sub40x40,0.0291,50,0.0004,0.0489
3,Sub40x40,0.0391,50,0.0005,0.0618
4,Sub40x40,0.0371,50,0.0005,0.0614
summary,Sub40x40,0.033,250,0.0004,1.51
