region,policy,reward_mean,reward_std,reward_ci_lo,reward_ci_hi,burned_cells_mean,burned_cells_std,fire_intensity_mean,fire_intensity_std
saudi,noop,-14542.982371163369,1511.662143396175,-15205.497516246158,-13880.46722608058,97.85,9.556542261717885,175.4140739440918,13.515377813293924
saudi,random,-13698.723069190979,1963.9725891113915,-14559.472007370048,-12837.97413101191,90.45,13.854511900460443,164.68960037231446,20.865357533159933
saudi,nearest_fire,-14333.238943767548,1436.7195508652396,-14962.909049513726,-13703.56883802137,95.25,10.158124826955023,175.2561393737793,14.842512908686397
saudi,frontier,-14252.469950389863,1369.6268333512774,-14852.735376213384,-13652.204524566341,92.2,9.05869747811461,171.0277000427246,13.033538998431037
saudi,ppo,-14639.644587552548,1564.9159486163396,-15325.499241827769,-13953.789933277327,98.6,9.624967532412771,178.26980056762696,14.476547558091557
california,noop,-38896.9157617569,1472.297086502123,-39542.17840998165,-38251.65311353215,263.75,12.193748398257199,351.08973388671876,6.6379917022226875
california,random,-36266.49972105026,1651.7103313529826,-36990.39369073888,-35542.60575136165,245.95,15.982725049252396,335.5903823852539,9.40834427926874
california,nearest_fire,-37157.03490953446,1670.0548501821056,-37888.968719081895,-36425.10109998702,261.85,14.873718432187696,349.21644897460936,8.792277839780219
california,frontier,-36077.30695886612,1418.9197427973886,-36699.17595477037,-35455.43796296186,249.0,16.994116628998402,335.15040130615233,12.287107706946326
california,ppo,-38896.9157617569,1472.297086502123,-39542.17840998165,-38251.65311353215,263.75,12.193748398257199,351.08973388671876,6.6379917022226875
