region,num_agents,comparison,t_statistic,p_value,cohens_d,significant
california,1,ppo_vs_noop,-0.8886639031261799,0.3806591922068452,-0.22876800788354607,False
california,1,ppo_vs_random,-9.07504338628973,1.0712965275292945e-09,-2.6584108839916167,True
california,1,ppo_vs_nearest_fire,-28.406045478554088,1.515832208579041e-17,-11.849281255123145,True
california,1,ppo_vs_frontier,-28.406045478554088,1.515832208579041e-17,-11.849281255123145,True
california,3,ppo_vs_noop,1.5878798431442644,0.11895692714538997,0.34198300717558394,False
california,3,ppo_vs_random,-11.63595657038639,1.0719828523038684e-11,-3.580772885873143,True
california,3,ppo_vs_nearest_fire,-107.46313751487328,1.921143688091315e-82,-19.257323767978736,True
california,3,ppo_vs_frontier,-107.46313751487328,1.921143688091315e-82,-19.257323767978736,True
california,5,ppo_vs_noop,6.603611763478295,7.504771136763541e-09,1.2337788464038917,True
california,5,ppo_vs_random,-14.372340116381444,4.603986717668361e-16,-3.610053888981356,True
california,5,ppo_vs_nearest_fire,-47.37220828363157,7.19394936962889e-56,-8.595251283209162,True
california,5,ppo_vs_frontier,-47.37220828363157,7.19394936962889e-56,-8.595251283209162,True
california,10,ppo_vs_noop,-2.363182184461831,0.020826462383739083,-0.370923808857837,True
california,10,ppo_vs_random,-14.510815432556324,4.9304677764788716e-17,-3.4608431407101863,True
california,10,ppo_vs_nearest_fire,7.837067063052318,4.830280713093544e-11,1.2000892742458322,True
california,10,ppo_vs_frontier,7.837067063052318,4.830280713093544e-11,1.2000892742458322,True
saudi,1,ppo_vs_noop,0.029100026480931285,0.9769634796507318,0.007546259492967554,False
saudi,1,ppo_vs_random,-1.631529798458216,0.11213104715081863,-0.4144034703274185,False
saudi,1,ppo_vs_nearest_fire,-58.46207341089589,1.2663454057718945e-54,-8.711908309589118,True
saudi,1,ppo_vs_frontier,-58.46207341089589,1.2663454057718945e-54,-8.711908309589118,True
saudi,3,ppo_vs_noop,-0.48944308959048605,0.6276489035496107,-0.12290880403528343,False
saudi,3,ppo_vs_random,-3.1559010073232043,0.0038851838458430366,-0.9203319554158802,True
saudi,3,ppo_vs_nearest_fire,-47.06455410821225,5.838147825215917e-51,-7.1028608800349335,True
saudi,3,ppo_vs_frontier,-47.06455410821225,5.838147825215917e-51,-7.1028608800349335,True
saudi,5,ppo_vs_noop,0.4163576195121057,0.6798269641024295,0.10637157410274581,False
saudi,5,ppo_vs_random,-6.995615291326634,2.7351957097435807e-08,-1.678474649390399,True
saudi,5,ppo_vs_nearest_fire,-35.32303239182217,1.7903806873394305e-46,-5.497776244585068,True
saudi,5,ppo_vs_frontier,-35.32303239182217,1.7903806873394305e-46,-5.497776244585068,True
saudi,10,ppo_vs_noop,-1.2846939817031917,0.2072606363649151,-0.31722196024455845,False
saudi,10,ppo_vs_random,-12.274070465838445,1.450741203229213e-12,-3.597731389718319,True
saudi,10,ppo_vs_nearest_fire,-8.851318922776612,2.7119106054929187e-13,-1.4230673484829195,True
saudi,10,ppo_vs_frontier,-8.851318922776612,2.7119106054929187e-13,-1.4230673484829195,True
