region,num_agents,policy,reward_mean,reward_std,reward_ci_lo,reward_ci_hi,burned_cells_mean,fire_intensity_mean
california,1,ppo,-3094.5898472072677,87.74644721379212,-3117.448446833135,-3071.7312475814,266.81666666666666,356.13030598958335
california,1,noop,-3074.375789211003,85.73939810273255,-3115.5455031603096,-3033.2060752616962,265.7,354.5637435913086
california,1,random,-2841.2043461715098,111.05279930234273,-2894.5288630414448,-2787.879829301575,247.55,338.2678924560547
california,1,nearest_fire,-886.749660105091,335.11312781891667,-1047.6618185556483,-725.8375016545338,67.65,113.09033977538347
california,1,frontier,-886.749660105091,335.11312781891667,-1047.6618185556483,-725.8375016545338,67.65,113.09033977538347
california,3,ppo,-2077.7284180000574,138.8060679007415,-2113.8884271233137,-2041.5684088768012,256.9,345.6771942138672
california,3,noop,-2122.4385617609946,94.12221477712586,-2167.6334750027054,-2077.243648519284,262.15,347.6368576049805
california,3,random,-1516.5441510698456,194.90776193362862,-1610.1335275160438,-1422.9547746236474,219.1,305.32030792236327
california,3,nearest_fire,333.9418475170732,58.0036041929023,306.0901032140712,361.7935918200752,0.0,0.08914687260985374
california,3,frontier,333.9418475170732,58.0036041929023,306.0901032140712,361.7935918200752,0.0,0.08914687260985374
california,5,ppo,-989.9840206992607,186.69131347142095,-1038.6184910826928,-941.3495503158285,261.4,346.27355194091797
california,5,noop,-1199.495658763957,88.88859321913617,-1242.1775300759448,-1156.8137874519691,255.85,339.59207916259766
california,5,random,-318.93018658177334,173.77069690668617,-402.37012251237053,-235.49025065117615,178.75,263.8061889648437
california,5,nearest_fire,461.16617495257634,81.27184045016145,422.1416599978788,500.1906899072739,0.0,0.08837584778666496
california,5,frontier,461.16617495257634,81.27184045016145,422.1416599978788,500.1906899072739,0.0,0.08837584778666496
california,10,ppo,1278.7341322800141,401.3938828285474,1174.1680518152998,1383.3002127447285,228.05,312.918191019694
california,10,noop,1410.253587678822,83.44976568894683,1370.1832925919111,1450.3238827657328,226.3,307.7867370605469
california,10,random,2632.6449170588958,336.9278732581077,2470.8613674827234,2794.428466635068,92.25,150.71340522766113
california,10,nearest_fire,854.6071411228219,61.330298212015286,825.1580093387502,884.0562729068936,0.0,0.08854366056621074
california,10,frontier,854.6071411228219,61.330298212015286,825.1580093387502,884.0562729068936,0.0,0.08854366056621074
saudi,1,ppo,-3575.003282472638,477.2098281241394,-3699.319978418639,-3450.6865865266373,102.8,182.29189758300782
saudi,1,noop,-3578.6424563618357,473.08690840270543,-3805.8058505900553,-3351.479062133616,102.95,181.78515548706054
saudi,1,random,-3377.107638797981,454.0907164854256,-3595.1495812238045,-3159.0656963721576,95.35,171.63877563476564
saudi,1,nearest_fire,73.00259750687096,25.373137097568392,60.8191110418529,85.186083971889,0.0,0.08906772825866938
saudi,1,frontier,73.00259750687096,25.373137097568392,60.8191110418529,85.186083971889,0.0,0.08906772825866938
saudi,3,ppo,-2787.9951578097052,479.26368234149436,-2912.846897996643,-2663.1434176227676,103.31666666666666,183.03266143798828
saudi,3,noop,-2729.3502485439335,445.8802090155439,-2943.449729844608,-2515.250767243259,101.2,176.15384826660156
saudi,3,random,-2310.402747778923,600.9688158566889,-2598.9715363261457,-2021.8339592317006,86.45,157.64002685546876
saudi,3,nearest_fire,203.70105164331787,52.93832641414324,178.2815151915469,229.12058809508883,0.0,0.09566180929541587
saudi,3,frontier,203.70105164331787,52.93832641414324,178.2815151915469,229.12058809508883,0.0,0.09566180929541587
saudi,5,ppo,-1823.062548106599,449.2301598690437,-1940.090333166561,-1706.034763046637,99.41666666666667,175.76262741088868
saudi,5,noop,-1871.0102590899983,432.4180996697163,-2078.6456036788904,-1663.374914501106,99.0,172.46332702636718
saudi,5,random,-1086.4728564400004,381.6503387960367,-1269.7309107834926,-903.2148020965082,74.1,134.75220413208007
saudi,5,nearest_fire,356.1333163027164,85.59418698406154,315.03332876099154,397.2333038444413,0.0,0.09763665199279785
saudi,5,frontier,356.1333163027164,85.59418698406154,315.03332876099154,397.2333038444413,0.0,0.09763665199279785
saudi,10,ppo,118.27722289834819,428.47005652366363,6.657598574597415,229.89684722209896,99.31666666666666,174.4173678080241
saudi,10,noop,252.6121349674798,385.51858604391964,67.49665409424074,437.72761584071884,94.85,164.33540725708008
saudi,10,random,1793.4944839754262,542.9640293242705,1532.7780074583038,2054.2109604925486,44.7,83.95931011661887
saudi,10,nearest_fire,658.7112400133653,108.21196991126446,606.7508117187822,710.6716683079485,0.0,0.09809376411139965
saudi,10,frontier,658.7112400133653,108.21196991126446,606.7508117187822,710.6716683079485,0.0,0.09809376411139965
