region,policy,action_entropy,action_diversity,repeated_action_ratio,spatial_coverage,containment_efficiency,spread_rate,extinguished_cells
saudi,noop,-0.0,0.2,1.0,0.0009765625,-38.87364340249563,0.7885424048457313,0.0
saudi,random,2.30881806398807,1.0,0.1457286432160804,0.0625,-38.93877264036532,0.7898597214090165,0.0
saudi,nearest_fire,0.6949628976742457,0.6,0.9597989949748744,0.029296875,-37.40884969108748,0.7589152038995944,0.0
saudi,frontier,0.6949628976742457,0.6,0.9597989949748744,0.029296875,-37.40884969108748,0.7589152038995944,0.0
saudi,ppo,-0.0,0.2,1.0,0.015625,-38.93877264036532,0.7898597214090165,0.0
california,noop,-0.0,0.2,1.0,0.0009765625,-29.96715844124699,1.7370939638147402,0.0
california,random,2.30881806398807,1.0,0.1457286432160804,0.0625,-27.997510901502817,1.6249864808279066,0.0
california,nearest_fire,1.4537474399177694,1.0,0.9095477386934674,0.0419921875,-29.771255508304254,1.7257567602186348,0.0
california,frontier,1.997586302394071,1.0,0.8391959798994975,0.0849609375,-28.872899797264925,1.673767535530742,0.0
california,ppo,-0.0,0.2,1.0,0.0009765625,-29.96715844124699,1.7370939638147402,0.0
