train_region,test_region,mean_reward,reward_std,mean_burned_cells,mean_fire_intensity,n_episodes,reward_mode,p_vs_native,d_vs_native,sig_vs_native
saudi,saudi,-15667.055536186695,1941.5310430708212,103.5,183.44407348632814,20,raw,,,
saudi,california,-38784.27161345482,975.2285014292737,249.25,340.4961273193359,20,raw,3.0314723556870204e-13,0.7996566754590717,***
random_saudi,saudi,-14794.050406587125,1833.6367858792692,95.35,171.63877563476564,20,raw,,,
noop_saudi,saudi,-15614.08559256792,1904.180716658814,102.95,181.78515548706054,20,raw,,,
california,saudi,-15614.08559256792,1904.180716658814,102.95,181.78515548706054,20,raw,0.0017424011539361097,0.02684875159735704,**
california,california,-39589.39223589897,987.4122586193732,265.7,354.5637435913086,20,raw,,,
random_california,california,-36787.77232317925,1283.8743024187304,247.55,338.2678924560547,20,raw,,,
noop_california,california,-39589.39223589897,987.4122586193732,265.7,354.5637435913086,20,raw,,,
