experiment,fire_mean,fire_std,fire_ci_lo,fire_ci_hi,reward_mean,reward_std,reward_ci_lo,reward_ci_hi,burned_mean,burned_std,n_seeds,p_vs_baseline,d_vs_baseline,sig_vs_baseline
baseline,177.62993774414062,0.0,177.62993774414062,177.62993774414062,-14941.712504013378,0.34104428462987213,-14942.750109054972,-14940.674898971783,99.59999999999998,1.4210854715202004e-14,3,,,
no_wind,68.50722846984863,0.0,68.50722846984863,68.50722846984863,-4827.577058720589,0.34104376762827315,-4828.61466218924,-4826.539455251937,12.699999999999998,1.7763568394002505e-15,3,0.0,0.0,***
no_terrain,173.44039306640624,0.0,173.44039306640624,173.44039306640624,-14576.122566199303,0.34104410480349,-14577.160170693787,-14575.084961704819,96.59999999999998,1.4210854715202004e-14,3,0.0,0.0,***
no_suppression,177.62993774414062,0.0,177.62993774414062,177.62993774414062,-14942.194813466072,0.0,-14942.194813466072,-14942.194813466072,99.59999999999998,1.4210854715202004e-14,3,,0.0,n.s.
dense_fuel,500.4277048746745,0.2852149843703127,499.5599568458747,501.29545290347426,-50245.02159307003,25.200391466977248,-50321.69214412376,-50168.3510420163,554.5333333333333,0.09428090415822778,3,3.9034928020582713e-07,1306.8554456076633,***
