seed,episode,region,policy,WEL,ISR,CE,burned_cells,total_reward
42,0,saudi,Full System (retrained),27.0,0.2857142857142857,0.9696969696969697,900,-191.26953125
42,1,saudi,Full System (retrained),27.0,0.2857142857142857,0.993103448275862,870,-608.203125
42,2,saudi,Full System (retrained),15.0,0.42857142857142855,0.993103448275862,897,-738.92578125
42,3,saudi,Full System (retrained),15.0,0.42857142857142855,0.9954022988505747,757,-402.40234375
42,4,saudi,Full System (retrained),27.0,0.2857142857142857,0.9977011494252873,886,-669.47265625
42,5,saudi,Full System (retrained),27.0,0.2857142857142857,1.0,900,-351.396484375
42,6,saudi,Full System (retrained),27.0,0.2857142857142857,1.0,900,-572.59765625
42,7,saudi,Full System (retrained),27.0,0.2857142857142857,0.9885057471264368,900,-161.376953125
42,8,saudi,Full System (retrained),15.0,0.42857142857142855,0.9908045977011494,817,-505.673828125
42,9,saudi,Full System (retrained),15.0,0.42857142857142855,0.9965277777777778,899,-628.8671875
42,10,saudi,Full System (retrained),15.0,0.42857142857142855,0.9920634920634921,897,-537.3046875
42,11,saudi,Full System (retrained),15.0,0.42857142857142855,1.0,897,-626.85546875
42,12,saudi,Full System (retrained),15.0,0.42857142857142855,0.9747474747474747,899,-414.0234375
42,13,saudi,Full System (retrained),15.0,0.42857142857142855,0.9908045977011494,676,-313.916015625
42,14,saudi,Full System (retrained),27.0,0.2857142857142857,0.9950980392156863,900,-731.71875
1042,0,saudi,Full System (retrained),15.0,0.42857142857142855,0.9912280701754386,897,-583.88671875
1042,1,saudi,Full System (retrained),15.0,0.42857142857142855,0.9908045977011494,854,-586.728515625
1042,2,saudi,Full System (retrained),27.0,0.2857142857142857,1.0,900,-653.45703125
1042,3,saudi,Full System (retrained),15.0,0.42857142857142855,0.9908045977011494,836,-543.26171875
1042,4,saudi,Full System (retrained),27.0,0.2857142857142857,1.0,900,-471.279296875
1042,5,saudi,Full System (retrained),27.0,0.2857142857142857,0.9916666666666667,899,-238.61328125
1042,6,saudi,Full System (retrained),15.0,0.42857142857142855,0.9863387978142076,897,-657.236328125
1042,7,saudi,Full System (retrained),15.0,0.42857142857142855,0.9880952380952381,896,-665.166015625
1042,8,saudi,Full System (retrained),15.0,0.42857142857142855,0.9953051643192489,899,-444.6484375
1042,9,saudi,Full System (retrained),27.0,0.2857142857142857,1.0,900,-296.3671875
1042,10,saudi,Full System (retrained),15.0,0.42857142857142855,0.9908045977011494,806,-485.703125
1042,11,saudi,Full System (retrained),27.0,0.2857142857142857,0.9964539007092199,900,-617.294921875
