timesteps,ep_rew_mean
2048,-4799.728727199999
4096,-5592.33112315
6144,-5792.673994766667
8192,-5715.372082121951
10240,-5978.93597327451
12288,-5907.028434016394
14336,-5803.586558830987
16384,-5920.934647463415
18432,-5831.315406336957
20480,-5974.546351149999
22528,-6091.345188279999
24576,-5978.77814808
26624,-6039.256590310001
28672,-6070.7191063400005
30720,-5977.841274440001
32768,-6134.90979573
34816,-6146.4863565000005
36864,-6111.223742800001
38912,-6146.158812480001
40960,-5967.6997615400005
43008,-6001.560813610002
45056,-6035.22987694
47104,-5947.480502520001
49152,-5966.629680309999
51200,-5980.41320438
53248,-5899.523903369999
55296,-5844.4174269800005
57344,-5872.972156029999
59392,-5937.590445640001
61440,-5981.70948088
63488,-5963.75727119
65536,-5831.756568229998
67584,-5900.969647119999
69632,-5905.341485010002
71680,-5904.26971669
73728,-5991.78650027
75776,-5930.833081639999
77824,-5873.38754652
79872,-5885.46900507
81920,-5769.579343980001
83968,-5754.904973170001
86016,-5825.032814369999
88064,-5941.040385189998
90112,-5966.045083669999
92160,-6027.109824379998
94208,-6067.939745809998
96256,-6269.727259169999
98304,-6406.16491954
100352,-6376.49559377
