Environment,Mean Reward,Reward Std,Mean Burned Cells,Burned Cells Std,Mean Fire Intensity,Fire Intensity Std
Saudi,-40525.73859374999,772.6820398404226,521.22,6.754035830523859,472.08949584960936,5.7337815404985495
California,-86180.22548377991,1277.7687591874555,794.1,3.1968734726291452,713.1483605957031,2.501733647976616
