timesteps,ep_rew_mean
2048,704.5230819999999
4096,777.1528535999998
6144,965.9265494666666
8192,1036.5026116249999
10240,1034.470555137255
12288,1021.9312720163933
14336,1090.3102568732393
16384,1094.4074239629629
18432,1060.4664863043479
20480,1096.92077085
22528,1095.45603846
24576,1135.97576759
26624,1145.68433694
28672,1097.3517745400002
30720,1113.96658759
32768,1079.16542611
34816,1052.8601748400001
36864,1054.5243475199998
38912,1079.27147771
40960,1047.3278528100002
43008,1080.15376145
45056,1036.30951674
47104,1022.7417260599999
49152,1065.22566436
51200,1086.6217537900002
53248,1124.22127853
55296,1169.43277781
57344,1213.24379011
59392,1249.92094609
61440,1303.78262148
63488,1295.4318409
65536,1298.35068512
67584,1347.42460986
69632,1312.48009801
71680,1319.1029680999998
73728,1322.86860346
75776,1342.6600941
77824,1342.05995336
79872,1317.84119531
81920,1293.4566394500002
83968,1409.7066475700003
86016,1347.95246976
88064,1361.04056848
90112,1328.70401511
92160,1327.9520729299998
94208,1321.65860116
96256,1346.4712426600004
98304,1300.45879661
100352,1334.4323983900001
