Ablation Group,Configuration,Return,Burned,WEL,ISR,CE
Design Component,Full Redesign,-646.025390625,898.5,15.0,0.42857142857142855,0.9790798611111111
Design Component,Without BC Pretraining,-645.5322265625,898.0,27.0,0.2857142857142857,0.9674479166666667
Design Component,Without KL Regularization,-646.0107421875,898.0,21.0,0.3571428571428571,0.99609375
Design Component,Without Entropy Bonus,-645.625,898.0,21.0,0.3571428571428571,0.9402777777777778
Design Component,Without WEL/ISR Reward,-645.7958984375,898.0,15.0,0.42857142857142855,0.9057291666666667
Design Component,Without Target-Seeking,-645.95703125,898.0,15.0,0.42857142857142855,0.9908854166666667
