policy,reward_mean,reward_std,burned_cells_mean,burned_cells_std,fire_intensity_mean,fire_intensity_std
noop,-13859.840596914291,436.60967923291855,93.2,7.166589146867566,167.2469268798828,6.007689357895055
random,-12594.290551137925,1400.7981247200382,82.0,15.297058540778355,149.46114501953124,21.834798714624046
nearest_fire,-13710.99277358055,525.4168378148034,91.0,8.414273587185052,166.60772094726562,7.820793017797766
frontier,-13679.449957418441,487.2918098084847,89.2,8.182909018191515,164.62062377929686,6.42569467876405
ppo,-13913.851530981065,474.4789272871319,93.4,7.002856560004639,168.96297912597657,6.818323054966806
