timesteps,ep_rew_mean
2048,-5933.8536115
4096,-5595.123366649999
6144,-5991.658732433334
8192,-6230.668122975
10240,-5979.054143568629
12288,-5937.038296508197
14336,-5933.2107970563375
16384,-6055.874337962962
18432,-6099.185457543477
20480,-6053.3661723800005
22528,-5853.3207955299995
24576,-5891.6257394799995
26624,-5866.15783647
28672,-5754.6304400300005
30720,-6040.00325849
32768,-5987.93387609
34816,-6048.229004489999
36864,-5891.252973789999
38912,-5909.379081050001
40960,-6012.059681749999
43008,-6127.015465920002
45056,-6206.07582645
47104,-6100.04796321
49152,-6127.477400440001
51200,-5846.988540139999
53248,-5835.77487261
55296,-5850.03681831
57344,-5823.13780992
59392,-5796.014489050001
61440,-5838.949471509999
63488,-5610.726218739999
65536,-5440.65633999
67584,-5436.51749055
69632,-5544.47026486
71680,-5577.009681230001
73728,-5687.825879919999
75776,-5767.306983230001
77824,-5828.470139310001
79872,-5773.158329719999
81920,-5810.981160060001
83968,-5974.402671519999
86016,-6011.175622100001
88064,-6077.010671980001
90112,-5983.58835179
92160,-5906.453803410001
94208,-5866.1293865100015
96256,-5701.7832822499995
98304,-5631.278327259999
100352,-5603.0664754
