region,policy,seed,episode,WEL,ISR,CE,burned_cells,total_reward
saudi,BC-only (no RL fine-tuning),42,0.0,15.0,0.42857142857142855,0.98989898989899,899.0,-191.181640625
saudi,Full System (retrained),42,0.0,15.0,0.42857142857142855,0.98989898989899,899.0,-191.181640625
saudi,w/o BC Pretraining,42,0.0,27.0,0.2857142857142857,0.98989898989899,900.0,-191.26953125
saudi,w/o Entropy Bonus,42,0.0,15.0,0.42857142857142855,0.98989898989899,899.0,-191.181640625
saudi,w/o KL Regularization,42,0.0,15.0,0.42857142857142855,0.98989898989899,899.0,-191.181640625
saudi,w/o Target-Seeking,42,0.0,27.0,0.2857142857142857,0.9595959595959596,897.0,-190.546875
saudi,w/o WEL/ISR Reward,42,0.0,15.0,0.42857142857142855,0.98989898989899,899.0,-191.181640625
saudi,Full System (shipped ckpt),42,7.0,20.6,0.3619047619047618,0.9904692376776556,866.4,-496.9765625
saudi,Full System (shipped ckpt),1042,7.0,19.8,0.3714285714285714,0.9915534694253076,884.2666666666667,-549.4251302083334
saudi,Full System (shipped ckpt),2042,7.0,21.4,0.3523809523809523,0.9979170567475044,894.6666666666666,-550.05859375
saudi,Full System (shipped ckpt),3042,7.0,19.8,0.3714285714285714,0.9959594829884856,885.8666666666667,-567.96484375
saudi,Full System (shipped ckpt),4042,7.0,19.8,0.3714285714285714,0.9975075860148456,881.6666666666666,-575.9459635416666
