region,num_agents,reward_mean,reward_std,reward_ci_lo,reward_ci_hi,burned_cells_mean,fire_intensity_mean
california,1,-3094.5898472072677,87.74644721379212,-3117.448446833135,-3071.7312475814,266.81666666666666,356.13030598958335
california,3,-2077.7284180000574,138.8060679007415,-2113.8884271233137,-2041.5684088768012,256.9,345.6771942138672
california,5,-989.9840206992607,186.69131347142095,-1038.6184910826928,-941.3495503158285,261.4,346.27355194091797
california,10,1278.7341322800141,401.3938828285474,1174.1680518152998,1383.3002127447285,228.05,312.918191019694
saudi,1,-3575.003282472638,477.2098281241394,-3699.319978418639,-3450.6865865266373,102.8,182.29189758300782
saudi,3,-2787.9951578097052,479.26368234149436,-2912.846897996643,-2663.1434176227676,103.31666666666666,183.03266143798828
saudi,5,-1823.062548106599,449.2301598690437,-1940.090333166561,-1706.034763046637,99.41666666666667,175.76262741088868
saudi,10,118.27722289834819,428.47005652366363,6.657598574597415,229.89684722209896,99.31666666666666,174.4173678080241
