num_agents,overlap_ratio_mean,overlap_ratio_std,coverage_efficiency_mean,region_specialization_mean,action_entropy_mean,repeated_action_ratio_mean
1,0.0,0.0,0.05472636815920398,1.0,0.0,1.0
3,0.3646233577606126,0.3259514512163931,0.04809286898839138,0.5558323991591384,0.0,1.0
5,0.03352240896358543,0.03460711798124131,0.057711442786069655,0.9794844833732271,0.060995091518648493,0.9966499162479062
10,0.049761480895589405,0.006779675052592704,0.04162520729684909,0.9416491353582273,0.0,1.0
