train_region,test_region,reward_mean,reward_std,reward_ci_lo,reward_ci_hi,burned_cells_mean,transfer_degradation_pct
saudi,saudi,-1823.062548106599,449.2301598690437,-1940.090333166561,-1706.034763046637,99.41666666666667,0.0
saudi,california,-1031.8498688423076,118.22493013397964,-1062.6483390885655,-1001.0513985960497,251.3,4.228941807916821
california,california,-989.9840206992607,186.69131347142095,-1038.6184910826928,-941.3495503158285,261.4,0.0
california,saudi,-1930.0890678539736,471.568672164757,-2052.936200876379,-1807.241934831568,101.08333333333333,5.870699272415553
