timesteps,ep_rew_mean
2048,1062.7602173
4096,1018.2484982999998
6144,1103.3381597
8192,1116.54364885
10240,1135.817698529412
12288,1113.4856349508195
14336,1038.0401689436621
16384,1040.8490125679011
18432,1045.2889544673912
20480,988.7417590999997
22528,979.9940287
24576,1025.63532303
26624,1057.0982680400002
28672,1051.7273957
30720,1027.0358177
32768,1070.291241
34816,1060.59784584
36864,1097.4309888999999
38912,1037.06536775
40960,1110.4493629899998
43008,1136.2458257
45056,1129.8820265
47104,1047.2763273
49152,1058.4759723999998
51200,1038.19390639
53248,1022.4525115600002
55296,1078.99845546
57344,1093.2051600500001
59392,1161.20964148
61440,1138.7385952700001
63488,1088.8525116
65536,1087.4911226499999
67584,1163.18880227
69632,1192.1632906900002
71680,1222.24778971
73728,1251.8986255200002
75776,1167.57165463
77824,1172.4536938200001
79872,1088.57838879
81920,1051.80328662
83968,1026.02821889
86016,1042.89831603
88064,1022.28038874
90112,964.20546576
92160,997.4980126499997
94208,1032.1040369500001
96256,938.3131060299999
98304,958.2446293099998
100352,1015.7122100299999
