timesteps,ep_rew_mean
2048,813.0357934
4096,976.5314015000001
6144,1078.2247325333333
8192,1153.4992817999998
10240,1112.241514745098
12288,1083.916551327869
14336,1054.6668947323944
16384,1006.2502103950618
18432,1024.0949652499999
20480,1013.1440690399999
22528,1063.8256216
24576,1048.30028186
26624,1020.9225195399999
28672,1019.2995880200001
30720,1027.9094405500002
32768,1005.6156568099999
34816,1034.26235697
36864,1044.34147786
38912,1037.1755872600002
40960,1007.9919321500003
43008,979.9751997000001
45056,893.37218818
47104,875.2133104999999
49152,893.5692402799999
51200,851.16030035
53248,876.85709145
55296,889.9587570700002
57344,913.6278899299999
59392,893.78283767
61440,924.6055886300002
63488,973.6983774100001
65536,1012.0980837999999
67584,972.38821459
69632,974.8183583599999
71680,1101.47968816
73728,1111.81057455
75776,1083.39863305
77824,1062.80989915
79872,1106.4163689400002
81920,1119.32440319
83968,1126.41995094
86016,1208.9426305999998
88064,1204.51571995
90112,1218.1610935899998
92160,1143.8077868500002
94208,1161.1209242999998
96256,1185.10422153
98304,1235.3228048600001
100352,1158.9492256599997
