region,variant,WEL,ISR,dWEL
saudi,full,7.023999999999999,0.8087619047619047,19.976
saudi,wo_comms,5.672,0.8601904761904761,21.328
saudi,wo_shaping,5.410666666666667,0.8403809523809522,21.589333333333332
saudi,wo_rl_finetune,11.325333333333333,0.696,15.674666666666667
saudi,wo_hierarchy,12.44,0.6819047619047618,14.56
saudi,wo_learned_tactic,18.76,0.46476190476190465,8.239999999999998
california,full,5.8773333333333335,0.8320000000000001,28.122666666666667
california,wo_comms,4.661333333333333,0.8644444444444443,29.33866666666667
california,wo_shaping,7.6,0.7866666666666667,26.4
california,wo_rl_finetune,9.461333333333332,0.7213333333333334,24.538666666666668
california,wo_hierarchy,19.576,0.39777777777777773,14.424
california,wo_learned_tactic,13.76,0.45111111111111113,20.240000000000002
