train_region,test_region,reward_mean,reward_std,reward_ci_lo,reward_ci_hi,burned_cells_mean,transfer_degradation_pct
saudi,saudi,-1232.4437426532256,562.8063455937231,-1379.0589655975737,-1085.8285197088776,88.81666666666666,0.0
saudi,california,-826.7362351844206,383.4008073530691,-926.6149861743602,-726.857484194481,237.0,10.36228078852848
california,california,-749.111226478345,376.0317687183752,-847.070288305627,-651.152164651063,234.76666666666668,0.0
california,saudi,-1470.0233141370938,366.3831480710714,-1565.4688387976662,-1374.5777894765215,86.66666666666667,19.27711288244305
