timesteps,ep_rew_mean
2048,1419.1196643
4096,1312.25837015
6144,1287.721348833333
8192,1286.024685325
10240,1163.7139324901964
12288,1141.4099743442625
14336,1221.7934365774647
16384,1181.5115209753087
18432,1186.7714447391304
20480,1164.12750014
22528,1142.47278259
24576,1156.3490285599999
26624,1188.66283794
28672,1170.87702549
30720,1217.37636432
32768,1195.2859431599998
34816,1128.9218328799998
36864,1107.61787712
38912,1120.5892649199998
40960,1112.0744319700002
43008,1094.9430272100003
45056,1067.7172837300002
47104,1105.5427344299999
49152,1057.0819313
51200,958.60868461
53248,1012.76179328
55296,1021.3392256000001
57344,1010.19575121
59392,1009.83445702
61440,983.5527748000002
63488,989.59440864
65536,952.9565451000001
67584,899.1171172699999
69632,1019.3691781699999
71680,991.1423888100002
73728,997.1796437400001
75776,1005.5558433
77824,1079.32738115
79872,1036.3735491300001
81920,1065.82885295
83968,1029.42472034
86016,1056.4550837400002
88064,1028.51964002
90112,990.1243350499999
92160,1025.3822233299998
94208,999.1721591700001
96256,977.0402832200001
98304,950.4175793600001
100352,885.30468444
