WEL,ISR,CE,burned,return,policy,ckpt_region,train_seed,eval_seed,episode,region,condition
27.0,0.2857142857142857,1.0,519,-41.285714285714285,noop,saudi,,3042,12,saudi,standard
27.0,0.2857142857142857,1.0,494,-41.285714285714285,noop,saudi,,3042,13,saudi,standard
27.0,0.2857142857142857,1.0,436,-41.285714285714285,noop,saudi,,3042,14,saudi,standard
27.0,0.2857142857142857,1.0,447,-41.285714285714285,noop,saudi,,4042,0,saudi,standard
27.0,0.2857142857142857,1.0,492,-41.28571428571429,noop,saudi,,4042,1,saudi,standard
27.0,0.2857142857142857,1.0,565,-41.285714285714285,noop,saudi,,4042,2,saudi,standard
27.0,0.2857142857142857,1.0,391,-41.285714285714285,noop,saudi,,4042,3,saudi,standard
27.0,0.2857142857142857,1.0,612,-41.285714285714285,noop,saudi,,4042,4,saudi,standard
27.0,0.2857142857142857,1.0,423,-41.285714285714285,noop,saudi,,4042,5,saudi,standard
27.0,0.2857142857142857,1.0,451,-41.285714285714285,noop,saudi,,4042,6,saudi,standard
27.0,0.2857142857142857,1.0,497,-41.285714285714285,noop,saudi,,4042,7,saudi,standard
27.0,0.2857142857142857,1.0,483,-41.285714285714285,noop,saudi,,4042,8,saudi,standard
27.0,0.2857142857142857,1.0,564,-41.285714285714285,noop,saudi,,4042,9,saudi,standard
27.0,0.2857142857142857,1.0,504,-41.285714285714285,noop,saudi,,4042,10,saudi,standard
27.0,0.2857142857142857,1.0,514,-41.285714285714285,noop,saudi,,4042,11,saudi,standard
27.0,0.2857142857142857,1.0,541,-41.285714285714285,noop,saudi,,4042,12,saudi,standard
27.0,0.2857142857142857,1.0,543,-41.285714285714285,noop,saudi,,4042,13,saudi,standard
27.0,0.2857142857142857,1.0,599,-41.285714285714285,noop,saudi,,4042,14,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,467,-26.571428571428577,value_first,saudi,,42,0,saudi,standard
27.0,0.2857142857142857,0.9977924944812362,349,-41.285714285714285,value_first,saudi,,42,1,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,428,-26.571428571428577,value_first,saudi,,42,2,saudi,standard
18.0,0.5714285714285714,1.0,431,-26.571428571428577,value_first,saudi,,42,3,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,412,-26.571428571428577,value_first,saudi,,42,4,saudi,standard
18.0,0.5714285714285714,0.9933774834437086,527,-26.571428571428573,value_first,saudi,,42,5,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,468,-26.571428571428577,value_first,saudi,,42,6,saudi,standard
18.0,0.5714285714285714,1.0,407,-26.571428571428577,value_first,saudi,,42,7,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,426,-26.571428571428577,value_first,saudi,,42,8,saudi,standard
18.0,0.5714285714285714,0.9933774834437086,581,-26.571428571428573,value_first,saudi,,42,9,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,512,-26.571428571428577,value_first,saudi,,42,10,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,471,-26.571428571428577,value_first,saudi,,42,11,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,599,-26.571428571428577,value_first,saudi,,42,12,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,623,-26.571428571428577,value_first,saudi,,42,13,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,508,-26.571428571428573,value_first,saudi,,42,14,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,510,-26.571428571428577,value_first,saudi,,1042,0,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,424,-26.571428571428577,value_first,saudi,,1042,1,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,435,-26.571428571428577,value_first,saudi,,1042,2,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,510,-26.571428571428577,value_first,saudi,,1042,3,saudi,standard
27.0,0.2857142857142857,0.9977924944812362,380,-41.285714285714285,value_first,saudi,,1042,4,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,503,-26.571428571428577,value_first,saudi,,1042,5,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,424,-26.571428571428577,value_first,saudi,,1042,6,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,528,-26.571428571428573,value_first,saudi,,1042,7,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,523,-26.571428571428577,value_first,saudi,,1042,8,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,509,-26.571428571428577,value_first,saudi,,1042,9,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,395,-26.571428571428577,value_first,saudi,,1042,10,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,428,-26.571428571428577,value_first,saudi,,1042,11,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,495,-26.571428571428577,value_first,saudi,,1042,12,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,502,-26.571428571428573,value_first,saudi,,1042,13,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,567,-26.571428571428573,value_first,saudi,,1042,14,saudi,standard
27.0,0.2857142857142857,0.9977924944812362,486,-41.285714285714285,value_first,saudi,,2042,0,saudi,standard
27.0,0.2857142857142857,0.9977924944812362,427,-41.285714285714285,value_first,saudi,,2042,1,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,451,-26.571428571428577,value_first,saudi,,2042,2,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,478,-26.571428571428577,value_first,saudi,,2042,3,saudi,standard
18.0,0.5714285714285714,0.9933774834437086,599,-26.571428571428573,value_first,saudi,,2042,4,saudi,standard
18.0,0.5714285714285714,1.0,479,-26.571428571428577,value_first,saudi,,2042,5,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,506,-26.571428571428577,value_first,saudi,,2042,6,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,539,-26.571428571428573,value_first,saudi,,2042,7,saudi,standard
27.0,0.2857142857142857,0.9977924944812362,379,-41.285714285714285,value_first,saudi,,2042,8,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,502,-26.571428571428577,value_first,saudi,,2042,9,saudi,standard
27.0,0.2857142857142857,1.0,356,-41.285714285714285,value_first,saudi,,2042,10,saudi,standard
18.0,0.5714285714285714,0.9933774834437086,582,-26.571428571428573,value_first,saudi,,2042,11,saudi,standard
18.0,0.5714285714285714,0.9933774834437086,601,-26.571428571428577,value_first,saudi,,2042,12,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,445,-26.571428571428577,value_first,saudi,,2042,13,saudi,standard
18.0,0.5714285714285714,1.0,414,-26.571428571428577,value_first,saudi,,2042,14,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,455,-26.571428571428573,value_first,saudi,,3042,0,saudi,standard
18.0,0.5714285714285714,0.9911699779249448,459,-26.571428571428577,value_first,saudi,,3042,1,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,546,-26.571428571428573,value_first,saudi,,3042,2,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,425,-26.571428571428577,value_first,saudi,,3042,3,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,533,-26.571428571428577,value_first,saudi,,3042,4,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,443,-26.571428571428577,value_first,saudi,,3042,5,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,535,-26.571428571428577,value_first,saudi,,3042,6,saudi,standard
27.0,0.2857142857142857,0.9977924944812362,360,-41.285714285714285,value_first,saudi,,3042,7,saudi,standard
18.0,0.5714285714285714,1.0,509,-26.571428571428577,value_first,saudi,,3042,8,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,473,-26.571428571428577,value_first,saudi,,3042,9,saudi,standard
18.0,0.5714285714285714,0.9911699779249448,573,-26.571428571428577,value_first,saudi,,3042,10,saudi,standard
18.0,0.5714285714285714,1.0,407,-26.571428571428577,value_first,saudi,,3042,11,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,503,-26.571428571428573,value_first,saudi,,3042,12,saudi,standard
18.0,0.5714285714285714,1.0,480,-26.571428571428577,value_first,saudi,,3042,13,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,420,-26.571428571428577,value_first,saudi,,3042,14,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,424,-26.571428571428577,value_first,saudi,,4042,0,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,476,-26.571428571428577,value_first,saudi,,4042,1,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,551,-26.571428571428577,value_first,saudi,,4042,2,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,357,-26.571428571428577,value_first,saudi,,4042,3,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,596,-26.571428571428573,value_first,saudi,,4042,4,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,402,-26.571428571428577,value_first,saudi,,4042,5,saudi,standard
