WEL,ISR,CE,burned,return,policy,ckpt_region,train_seed,eval_seed,episode,eval_region
10.0,0.7142857142857143,0.9536423841059604,411,-16.014285714285712,commnet,saudi,42,2042,11,saudi
0.0,1.0,0.7483443708609272,393,-0.7,commnet,saudi,42,2042,12,saudi
10.0,0.8571428571428571,0.93598233995585,249,-13.157142857142857,commnet,saudi,42,2042,13,saudi
23.0,0.4285714285714285,0.8543046357615894,275,-34.528571428571425,commnet,saudi,42,2042,14,saudi
0.0,1.0,0.6865342163355408,137,-0.4,commnet,saudi,42,3042,0,saudi
0.0,1.0,0.9470198675496688,102,-0.3,commnet,saudi,42,3042,1,saudi
0.0,1.0,0.958057395143488,327,-0.3,commnet,saudi,42,3042,2,saudi
10.0,0.8571428571428571,0.9602649006622516,266,-13.157142857142857,commnet,saudi,42,3042,3,saudi
14.0,0.7142857142857143,0.6887417218543046,399,-20.114285714285717,commnet,saudi,42,3042,4,saudi
14.0,0.7142857142857143,0.9668874172185432,276,-19.91428571428571,commnet,saudi,42,3042,5,saudi
4.0,0.8571428571428571,0.6821192052980133,355,-7.257142857142858,commnet,saudi,42,3042,6,saudi
13.0,0.5714285714285714,0.9249448123620309,237,-21.77142857142857,commnet,saudi,42,3042,7,saudi
23.0,0.4285714285714285,0.9867549668874172,329,-34.528571428571425,commnet,saudi,42,3042,8,saudi
16.0,0.7142857142857143,0.6909492273730684,243,-21.91428571428571,commnet,saudi,42,3042,9,saudi
0.0,1.0,0.933774834437086,387,-0.4,commnet,saudi,42,3042,10,saudi
14.0,0.7142857142857143,0.7593818984547461,271,-19.91428571428571,commnet,saudi,42,3042,11,saudi
4.0,0.8571428571428571,0.6865342163355408,315,-7.257142857142858,commnet,saudi,42,3042,12,saudi
10.0,0.8571428571428571,0.6821192052980133,292,-13.257142857142856,commnet,saudi,42,3042,13,saudi
24.0,0.4285714285714285,0.6821192052980133,279,-35.72857142857143,commnet,saudi,42,3042,14,saudi
10.0,0.8571428571428571,0.9602649006622516,250,-13.157142857142857,commnet,saudi,42,4042,0,saudi
0.0,1.0,0.9470198675496688,127,-0.3,commnet,saudi,42,4042,1,saudi
14.0,0.7142857142857143,0.6865342163355408,411,-20.114285714285717,commnet,saudi,42,4042,2,saudi
13.0,0.5714285714285714,0.6865342163355408,208,-21.77142857142857,commnet,saudi,42,4042,3,saudi
