ent_coef,seed,episode,reward,burned_cells,fire_intensity,mean_entropy,mean_repeated
0.02,1,9,-3026.007936710337,90,157.6300048828125,-1.4428232973175175e-12,1.0
0.02,1,10,-3154.2937158237028,84,157.0106201171875,-1.4428232973175175e-12,1.0
0.02,1,11,-3337.1206947835803,83,165.26861572265625,-1.4428232973175175e-12,1.0
0.02,1,12,-3042.987401796666,80,153.22506713867188,-1.4428232973175175e-12,1.0
0.02,1,13,-3607.849167133568,86,172.8234100341797,-1.4428232973175175e-12,1.0
0.02,1,14,-3813.229599491435,91,176.37054443359375,-1.4428232973175175e-12,1.0
0.02,1,15,-4097.6206109078885,102,182.1729736328125,-1.4428232973175175e-12,1.0
0.02,1,16,-3293.7896362427305,93,164.79428100585938,-1.4428232973175175e-12,1.0
0.02,1,17,-3605.1952635316165,113,201.17642211914062,-1.4428232973175175e-12,1.0
0.02,1,18,-2985.0210948279823,73,151.64434814453125,-1.4428232973175175e-12,1.0
0.02,1,19,-3239.6645418085345,88,152.53372192382812,-1.4428232973175175e-12,1.0
0.02,2,0,-3720.471341758037,83,155.91873168945312,-1.4428232973175175e-12,1.0
0.02,2,1,-4100.548881873541,96,174.2150421142578,-1.4428232973175175e-12,1.0
0.02,2,2,-3890.724028949212,99,166.35256958007812,-1.4428232973175175e-12,1.0
0.02,2,3,-3803.9951272694116,85,154.93524169921875,-1.4428232973175175e-12,1.0
0.02,2,4,-3898.30279308117,85,163.45689392089844,-1.4428232973175175e-12,1.0
0.02,2,5,-4478.581118038584,106,184.68907165527344,-1.4428232973175175e-12,1.0
0.02,2,6,-4452.23707647652,98,176.97189331054688,-1.4428232973175175e-12,1.0
0.02,2,7,-4254.159974457497,109,185.64212036132812,-1.4428232973175175e-12,1.0
0.02,2,8,-4403.81395844032,103,172.6750946044922,-1.4428232973175175e-12,1.0
0.02,2,9,-4317.959993424302,94,172.4271697998047,-1.4428232973175175e-12,1.0
0.02,2,10,-3597.6392771827577,91,159.90951538085938,-1.4428232973175175e-12,1.0
0.02,2,11,-3756.5341480064917,89,166.6310577392578,-1.4428232973175175e-12,1.0
0.02,2,12,-3497.8189321622312,83,157.9368896484375,-1.4428232973175175e-12,1.0
0.02,2,13,-4720.140535199669,103,197.35850524902344,-1.4428232973175175e-12,1.0
0.02,2,14,-4709.367847032314,94,188.4606475830078,-1.4428232973175175e-12,1.0
0.02,2,15,-4559.069861399461,105,184.50430297851562,-1.4428232973175175e-12,1.0
0.02,2,16,-3682.8156550868207,96,164.19137573242188,-1.4428232973175175e-12,1.0
0.02,2,17,-3988.1465667267407,115,201.49130249023438,-1.4428232973175175e-12,1.0
0.02,2,18,-3859.8853195354804,86,161.03466796875,-1.4428232973175175e-12,1.0
0.02,2,19,-3686.153811845039,91,154.4696044921875,-1.4428232973175175e-12,1.0
0.05,0,0,-3690.616976587791,79,154.5458984375,-1.4428232973175175e-12,1.0
0.05,0,1,-4056.8694251241905,92,173.47503662109375,-1.4428232973175175e-12,1.0
0.05,0,2,-3884.649095587495,102,168.9289093017578,-1.4428232973175175e-12,1.0
0.05,0,3,-3769.3484127824977,85,157.0596466064453,-1.4428232973175175e-12,1.0
0.05,0,4,-3876.9185688753973,82,164.00558471679688,-1.4428232973175175e-12,1.0
0.05,0,5,-3587.100510119054,97,181.1396484375,-1.4428232973175175e-12,1.0
0.05,0,6,-3605.5236304061546,82,156.2013702392578,-1.4428232973175175e-12,1.0
0.05,0,7,-4228.502945452139,106,187.55902099609375,-1.4428232973175175e-12,1.0
0.05,0,8,-3819.9301600103063,101,170.13302612304688,-1.4428232973175175e-12,1.0
0.05,0,9,-3455.704203220266,92,160.1279754638672,-1.4428232973175175e-12,1.0
0.05,0,10,-3563.8183285976033,87,159.65213012695312,-1.4428232973175175e-12,1.0
0.05,0,11,-3729.8516666973183,86,167.7266387939453,-1.4428232973175175e-12,1.0
0.05,0,12,-3440.9540705651725,80,155.2617645263672,-1.4428232973175175e-12,1.0
0.05,0,13,-4005.056026089021,87,174.6693572998047,-1.4428232973175175e-12,1.0
0.05,0,14,-4235.968896363772,92,178.86419677734375,-1.4428232973175175e-12,1.0
0.05,0,15,-4512.142977874595,104,184.3795166015625,-1.4428232973175175e-12,1.0
0.05,0,16,-3703.8921393249957,98,167.70071411132812,-1.4428232973175175e-12,1.0
0.05,0,17,-4005.4336978941,115,203.28048706054688,-1.4428232973175175e-12,1.0
0.05,0,18,-3834.827609419225,82,161.04827880859375,-1.4428232973175175e-12,1.0
0.05,0,19,-3656.3503902585576,89,154.8245086669922,-1.4428232973175175e-12,1.0
0.05,1,0,-3344.182925821001,83,155.94232177734375,-1.4428232973175175e-12,1.0
0.05,1,1,-3724.6097472414785,96,174.7595977783203,-1.4428232973175175e-12,1.0
0.05,1,2,-3514.3106120496195,99,166.35256958007812,-1.4428232973175175e-12,1.0
0.05,1,3,-3427.6836804652917,85,154.95782470703125,-1.4428232973175175e-12,1.0
0.05,1,4,-3522.637861354594,85,163.806640625,-1.4428232973175175e-12,1.0
0.05,1,5,-4102.549158545481,106,184.7723388671875,-1.4428232973175175e-12,1.0
0.05,1,6,-4076.720724140952,98,177.05023193359375,-1.4428232973175175e-12,1.0
0.05,1,7,-3870.6711247006915,109,185.64212036132812,-1.4428232973175175e-12,1.0
0.05,1,8,-4033.5954105400465,104,174.66946411132812,-1.4428232973175175e-12,1.0
0.05,1,9,-3949.6272825329456,94,174.2381591796875,-1.4428232973175175e-12,1.0
0.05,1,10,-3221.1463213080383,91,159.93209838867188,-1.4428232973175175e-12,1.0
0.05,1,11,-3379.0916610715253,89,167.07034301757812,-1.4428232973175175e-12,1.0
0.05,1,12,-3120.2685187137445,83,157.9368896484375,-1.4428232973175175e-12,1.0
0.05,1,13,-4348.295882862075,103,198.10968017578125,-1.4428232973175175e-12,1.0
0.05,1,14,-4341.148910851559,95,189.75914001464844,-1.4428232973175175e-12,1.0
0.05,1,15,-4184.013730898513,105,184.70248413085938,-1.4428232973175175e-12,1.0
0.05,1,16,-3307.483493889264,96,164.47535705566406,-1.4428232973175175e-12,1.0
0.05,1,17,-3605.6712919782017,114,200.0968017578125,-1.4428232973175175e-12,1.0
0.05,1,18,-3483.962125431287,86,161.0572509765625,-1.4428232973175175e-12,1.0
0.05,1,19,-3309.6857140954157,91,154.51475524902344,-1.4428232973175175e-12,1.0
0.05,2,0,-3196.1082123761976,79,152.3673095703125,-1.4428232973175175e-12,1.0
0.05,2,1,-3620.1344713319713,95,170.73422241210938,-1.4428232973175175e-12,1.0
0.05,2,2,-3375.8352434977514,101,167.11053466796875,-1.4428232973175175e-12,1.0
0.05,2,3,-3397.447675545706,84,155.23956298828125,-1.4428232973175175e-12,1.0
0.05,2,4,-3490.9639418026927,84,162.5240936279297,-1.4428232973175175e-12,1.0
0.05,2,5,-4042.391116140807,106,183.9579315185547,-1.4428232973175175e-12,1.0
0.05,2,6,-3991.228354945919,96,173.8013458251953,-1.4428232973175175e-12,1.0
0.05,2,7,-3895.3181262223566,110,187.52273559570312,-1.4428232973175175e-12,1.0
0.05,2,8,-3967.914752618819,103,170.0843505859375,-1.4428232973175175e-12,1.0
0.05,2,9,-3858.474566175476,90,169.53924560546875,-1.4428232973175175e-12,1.0
0.05,2,10,-3215.3231457323404,88,160.05490112304688,-1.4428232973175175e-12,1.0
0.05,2,11,-3394.2299773719096,89,166.69540405273438,-1.4428232973175175e-12,1.0
0.05,2,12,-3088.01949931956,83,154.2944793701172,-1.4428232973175175e-12,1.0
0.05,2,13,-4336.118152948849,103,196.75015258789062,-1.4428232973175175e-12,1.0
0.05,2,14,-4252.619835319896,91,183.04217529296875,-1.4428232973175175e-12,1.0
0.05,2,15,-4133.421144704744,103,181.44285583496094,-1.4428232973175175e-12,1.0
0.05,2,16,-3279.9149403321435,92,162.7679901123047,-1.4428232973175175e-12,1.0
0.05,2,17,-3598.883220156616,114,195.76248168945312,-1.4428232973175175e-12,1.0
0.05,2,18,-3029.1542859572146,78,153.71640014648438,-1.4428232973175175e-12,1.0
0.05,2,19,-3279.8839556090106,89,153.37762451171875,-1.4428232973175175e-12,1.0
